Date,SCHF
2021-04-19,16.77604103088379
2021-04-20,16.48525047302246
2021-04-21,16.64775276184082
2021-04-22,16.575054168701172
2021-04-23,16.74610710144043
2021-04-26,16.780317306518555
2021-04-27,16.72472381591797
2021-04-28,16.788869857788086
2021-04-29,16.78459358215332
2021-04-30,16.56650161743164
2021-05-03,16.74610710144043
2021-05-04,16.528013229370117
2021-05-05,16.741830825805664
2021-05-06,16.865840911865234
2021-05-07,17.06683349609375
2021-05-10,16.985584259033203
2021-05-11,16.77604103088379
2021-05-12,16.480972290039062
2021-05-13,16.60498809814453
2021-05-14,16.87867546081543
2021-05-17,16.84446144104004
2021-05-18,16.90005874633789
2021-05-19,16.754657745361328
2021-05-20,16.97702407836914
2021-05-21,16.981304168701172
2021-05-24,17.083934783935547
2021-05-25,17.088212966918945
2021-05-26,17.083934783935547
2021-05-27,17.12242317199707
2021-05-28,17.16090965270996
2021-06-01,17.250715255737305
2021-06-02,17.302030563354492
2021-06-03,17.21222686767578
2021-06-04,17.37044906616211
2021-06-07,17.4003849029541
2021-06-08,17.37900161743164
2021-06-09,17.327688217163086
2021-06-10,17.383281707763672
2021-06-11,17.413217544555664
2021-06-14,17.44314956665039
2021-06-15,17.46453094482422
2021-06-16,17.34479522705078
2021-06-17,17.229331970214844
2021-06-18,16.895776748657227
2021-06-21,17.130977630615234
2021-06-22,17.130977630615234
2021-06-23,17.03652000427246
2021-06-24,17.20041847229004
2021-06-25,17.243549346923828
2021-06-28,17.140037536621094
2021-06-29,17.13140869140625
2021-06-30,17.014955520629883
2021-07-01,17.04945945739746
2021-07-02,17.114154815673828
2021-07-06,17.00201416015625
2021-07-07,17.07533836364746
2021-07-08,16.82086944580078
2021-07-09,17.109844207763672
2021-07-12,17.178852081298828
2021-07-13,17.071027755737305
2021-07-14,17.13140869140625
2021-07-15,16.989076614379883
2021-07-16,16.85537338256836
2021-07-19,16.54051971435547
2021-07-20,16.674222946166992
2021-07-21,16.911441802978516
2021-07-22,16.92438316345215
2021-07-23,17.027891159057617
2021-07-26,17.040834426879883
2021-07-27,16.976139068603516
2021-07-28,17.058086395263672
2021-07-29,17.178852081298828
2021-07-30,17.071027755737305
2021-08-02,17.148658752441406
2021-08-03,17.269426345825195
2021-08-04,17.239234924316406
2021-08-05,17.321184158325195
2021-08-06,17.260801315307617
2021-08-09,17.239234924316406
2021-08-10,17.269426345825195
2021-08-11,17.37293815612793
2021-08-12,17.342748641967773
2021-08-13,17.42469596862793
2021-08-16,17.342748641967773
2021-08-17,17.15297508239746
2021-08-18,17.10121726989746
2021-08-19,16.915756225585938
2021-08-20,16.971824645996094
2021-08-23,17.144350051879883
2021-08-24,17.213356018066406
2021-08-25,17.217666625976562
2021-08-26,17.114154815673828
2021-08-27,17.286678314208984
2021-08-30,17.273738861083984
2021-08-31,17.273738861083984
2021-09-01,17.42469596862793
2021-09-02,17.50663948059082
2021-09-03,17.592905044555664
2021-09-07,17.56702423095703
2021-09-08,17.433319091796875
2021-09-09,17.407442092895508
2021-09-10,17.35999870300293
2021-09-13,17.498016357421875
2021-09-14,17.411754608154297
2021-09-15,17.480764389038086
2021-09-16,17.42900848388672
2021-09-17,17.217666625976562
2021-09-20,16.88987922668457
2021-09-21,17.040834426879883
2021-09-22,17.13140869140625
2021-09-23,17.32980728149414
2021-09-24,17.161598205566406
2021-09-27,17.174537658691406
2021-09-28,16.79498863220215
2021-09-29,16.756168365478516
2021-09-30,16.691476821899414
2021-10-01,16.738920211791992
2021-10-04,16.59227752685547
2021-10-05,16.678537368774414
2021-10-06,16.57502555847168
2021-10-07,16.708728790283203
2021-10-08,16.713043212890625
2021-10-11,16.665599822998047
2021-10-12,16.652658462524414
2021-10-13,16.825180053710938
2021-10-14,17.010639190673828
2021-10-15,17.135723114013672
2021-10-18,17.071027755737305
2021-10-19,17.187475204467773
2021-10-20,17.24785804748535
2021-10-21,17.161598205566406
2021-10-22,17.24785804748535
2021-10-25,17.239234924316406
2021-10-26,17.26511001586914
2021-10-27,17.183164596557617
2021-10-28,17.34705924987793
2021-10-29,17.234920501708984
2021-11-01,17.40312957763672
2021-11-02,17.35999870300293
2021-11-03,17.480764389038086
2021-11-04,17.459197998046875
2021-11-05,17.498016357421875
2021-11-08,17.510955810546875
2021-11-09,17.450572967529297
2021-11-10,17.243549346923828
2021-11-11,17.31255531311035
2021-11-12,17.42469596862793
2021-11-15,17.39881706237793
2021-11-16,17.364309310913086
2021-11-17,17.32549476623535
2021-11-18,17.342748641967773
2021-11-19,17.204729080200195
2021-11-22,17.12278175354004
2021-11-23,17.10121726989746
2021-11-24,16.99770164489746
2021-11-26,16.54051971435547
2021-11-29,16.622467041015625
2021-11-30,16.467201232910156
2021-12-01,16.376623153686523
2021-12-02,16.605215072631836
2021-12-03,16.53620719909668
2021-12-06,16.704418182373047
2021-12-07,17.04514503479004
2021-12-08,17.068510055541992
2021-12-09,16.931856155395508
2021-12-10,16.96271324157715
2021-12-13,16.786388397216797
2021-12-14,16.7026309967041
2021-12-15,16.914222717285156
2021-12-16,16.923038482666016
2021-12-17,16.72026252746582
2021-12-20,16.64973258972168
2021-12-21,16.83928871154785
