Date,IVE
2021-04-19,131.9773406982422
2021-04-20,130.84034729003906
2021-04-21,132.3412322998047
2021-04-22,131.3133544921875
2021-04-23,132.3776092529297
2021-04-26,132.31393432617188
2021-04-27,132.58680725097656
2021-04-28,132.75057983398438
2021-04-29,133.97853088378906
2021-04-30,133.15988159179688
2021-05-03,134.1604766845703
2021-05-04,134.38787841796875
2021-05-05,134.7426300048828
2021-05-06,135.94329833984375
2021-05-07,137.0258026123047
2021-05-10,136.9984893798828
2021-05-11,135.1428680419922
2021-05-12,132.79603576660156
2021-05-13,134.60617065429688
2021-05-14,136.2799072265625
2021-05-17,136.18893432617188
2021-05-18,135.02464294433594
2021-05-19,134.1696014404297
2021-05-20,134.87001037597656
2021-05-21,135.3520965576172
2021-05-24,136.0433349609375
2021-05-25,135.27926635742188
2021-05-26,135.56126403808594
2021-05-27,136.18893432617188
2021-05-28,136.31629943847656
2021-06-01,136.75286865234375
2021-06-02,137.0530548095703
2021-06-03,137.0712890625
2021-06-04,137.58067321777344
2021-06-07,137.20774841308594
2021-06-08,137.0258026123047
2021-06-09,136.58917236328125
2021-06-10,136.50880432128906
2021-06-11,136.73704528808594
2021-06-14,136.10719299316406
2021-06-15,136.2532196044922
2021-06-16,135.3312530517578
2021-06-17,133.58767700195312
2021-06-18,131.08644104003906
2021-06-21,133.64247131347656
2021-06-22,133.73374938964844
2021-06-23,133.41424560546875
2021-06-24,134.35452270507812
2021-06-25,135.30386352539062
2021-06-28,134.4822540283203
2021-06-29,134.098876953125
2021-06-30,134.7744140625
2021-07-01,135.57774353027344
2021-07-02,135.89720153808594
2021-07-06,134.5735626220703
2021-07-07,134.7926788330078
2021-07-08,133.5146484375
2021-07-09,135.55946350097656
2021-07-12,136.1163330078125
2021-07-13,135.17605590820312
2021-07-14,135.13043212890625
2021-07-15,135.057373046875
2021-07-16,133.86155700683594
2021-07-19,131.22340393066406
2021-07-20,133.4690399169922
2021-07-21,134.88389587402344
2021-07-22,134.23582458496094
2021-07-23,135.01177978515625
2021-07-26,135.58685302734375
2021-07-27,135.65988159179688
2021-07-28,135.37686157226562
2021-07-29,136.37191772460938
2021-07-30,135.84243774414062
2021-08-02,135.37686157226562
2021-08-03,136.60015869140625
2021-08-04,135.14869689941406
2021-08-05,136.02500915527344
2021-08-06,137.01087951660156
2021-08-09,136.7644500732422
2021-08-10,137.7138214111328
2021-08-11,138.56277465820312
2021-08-12,138.57191467285156
2021-08-13,138.4988555908203
2021-08-16,138.60842895507812
2021-08-17,137.96942138671875
2021-08-18,136.42665100097656
2021-08-19,135.8698272705078
2021-08-20,136.53623962402344
2021-08-23,137.4125518798828
2021-08-24,137.7959442138672
2021-08-25,138.39845275878906
2021-08-26,137.4034423828125
2021-08-27,138.61752319335938
2021-08-30,138.1245880126953
2021-08-31,138.06985473632812
2021-09-01,137.86900329589844
2021-09-02,138.75448608398438
2021-09-03,138.22499084472656
2021-09-07,137.15696716308594
2021-09-08,137.11131286621094
2021-09-09,136.70965576171875
2021-09-10,135.73292541503906
2021-09-13,136.618408203125
2021-09-14,135.3312530517578
2021-09-15,136.56361389160156
2021-09-16,136.1619873046875
2021-09-17,135.24913024902344
2021-09-20,133.1859893798828
2021-09-21,132.7021942138672
2021-09-22,134.1627960205078
2021-09-23,136.1710968017578
2021-09-24,136.36572265625
2021-09-27,137.0451202392578
2021-09-28,135.4017333984375
2021-09-29,135.75059509277344
2021-09-30,133.5104217529297
2021-10-01,135.33743286132812
2021-10-04,134.7039794921875
2021-10-05,135.66796875
2021-10-06,135.8332061767578
2021-10-07,136.9441680908203
2021-10-08,136.9441680908203
2021-10-11,135.88827514648438
2021-10-12,135.5578155517578
2021-10-13,135.53025817871094
2021-10-14,137.57762145996094
2021-10-15,138.5691680908203
2021-10-18,138.19271850585938
2021-10-19,139.2210235595703
2021-10-20,140.43292236328125
2021-10-21,140.26763916015625
2021-10-22,140.6073455810547
2021-10-25,140.9562530517578
2021-10-26,140.88279724121094
2021-10-27,138.88134765625
2021-10-28,139.92794799804688
2021-10-29,139.5790557861328
2021-11-01,140.34109497070312
2021-11-02,140.72666931152344
2021-11-03,141.44284057617188
2021-11-04,140.8460693359375
2021-11-05,141.8927001953125
2021-11-08,142.06712341308594
2021-11-09,141.929443359375
2021-11-10,141.56219482421875
2021-11-11,141.32345581054688
2021-11-12,141.71827697753906
2021-11-15,141.8927001953125
2021-11-16,141.59889221191406
2021-11-17,140.9837646484375
2021-11-18,140.46044921875
2021-11-19,139.1475830078125
2021-11-22,139.95550537109375
2021-11-23,141.0480194091797
2021-11-24,141.0480194091797
2021-11-26,137.6786346435547
2021-11-29,138.3120880126953
2021-11-30,135.0436553955078
2021-12-01,133.8592987060547
2021-12-02,136.86151123046875
2021-12-03,136.63197326660156
2021-12-06,138.55999755859375
2021-12-07,140.2860107421875
2021-12-08,140.27684020996094
2021-12-09,139.87289428710938
2021-12-10,140.88279724121094
2021-12-13,140.20091247558594
2021-12-14,139.96104431152344
2021-12-15,141.20663452148438
2021-12-16,142.0739288330078
2021-12-17,140.12709045410156
2021-12-20,138.6692657470703
2021-12-21,140.8191375732422
2021-12-22,141.66799926757812
2021-12-23,142.47071838378906
2021-12-27,143.93777465820312
2021-12-28,144.38986206054688
2021-12-29,144.67588806152344
2021-12-30,144.6205596923828
2021-12-31,144.51904296875
2022-01-03,145.2018280029297
2022-01-04,146.65045166015625
2022-01-05,145.69085693359375
2022-01-06,145.77389526367188
2022-01-07,146.16146850585938
2022-01-10,145.61708068847656
2022-01-11,146.64120483398438
2022-01-12,146.7611846923828
2022-01-13,146.4936065673828
2022-01-14,146.28140258789062
2022-01-18,144.43601989746094
2022-01-19,143.19964599609375
2022-01-20,141.94476318359375
2022-01-21,140.03482055664062
2022-01-24,140.3208770751953
2022-01-25,139.7672576904297
