Date,IWB
2021-04-19,220.31175231933594
2021-04-20,218.5561981201172
2021-04-21,220.81875610351562
2021-04-22,218.98805236816406
2021-04-23,221.3914337158203
2021-04-26,222.02978515625
2021-04-27,222.0955352783203
2021-04-28,221.78570556640625
2021-04-29,223.01559448242188
2021-04-30,221.35391235351562
2021-05-03,221.85145568847656
2021-05-04,220.14280700683594
2021-05-05,220.03956604003906
2021-05-06,221.4665069580078
2021-05-07,223.1658172607422
2021-05-10,220.92201232910156
2021-05-11,219.02560424804688
2021-05-12,214.20010375976562
2021-05-13,216.71612548828125
2021-05-14,220.03956604003906
2021-05-17,219.59828186035156
2021-05-18,217.89907836914062
2021-05-19,217.16677856445312
2021-05-20,219.7203369140625
2021-05-21,219.48561096191406
2021-05-24,221.71060180664062
2021-05-25,221.13790893554688
2021-05-26,221.83267211914062
2021-05-27,221.93589782714844
2021-05-28,222.3677978515625
2021-06-01,222.33026123046875
2021-06-02,222.60252380371094
2021-06-03,221.5885467529297
2021-06-04,223.616455078125
2021-06-07,223.6258087158203
2021-06-08,223.71029663085938
2021-06-09,223.37232971191406
2021-06-10,224.40267944335938
2021-06-11,225.0331268310547
2021-06-14,225.42837524414062
2021-06-15,224.8732147216797
2021-06-16,223.62167358398438
2021-06-17,223.61228942871094
2021-06-18,220.76113891601562
2021-06-21,223.86630249023438
2021-06-22,225.10838317871094
2021-06-23,224.9390411376953
2021-06-24,226.33168029785156
2021-06-25,227.31971740722656
2021-06-28,227.6396484375
2021-06-29,227.8184051513672
2021-06-30,227.7902069091797
2021-07-01,228.872314453125
2021-07-02,230.556640625
2021-07-06,230.07675170898438
2021-07-07,230.64134216308594
2021-07-08,228.76876831054688
2021-07-09,231.3282470703125
2021-07-12,231.97752380371094
2021-07-13,230.9141845703125
2021-07-14,230.8671875
2021-07-15,230.19908142089844
2021-07-16,228.45828247070312
2021-07-19,225.19309997558594
2021-07-20,228.8441162109375
2021-07-21,230.8013153076172
2021-07-22,231.1776580810547
2021-07-23,233.4642333984375
2021-07-26,233.87828063964844
2021-07-27,232.80557250976562
2021-07-28,232.8714141845703
2021-07-29,233.8406219482422
2021-07-30,232.56088256835938
2021-08-02,232.19393920898438
2021-08-03,234.00057983398438
2021-08-04,232.9090576171875
2021-08-05,234.4428253173828
2021-08-06,234.66868591308594
2021-08-09,234.59341430664062
2021-08-10,234.6593017578125
2021-08-11,235.1297607421875
2021-08-12,235.91078186035156
2021-08-13,236.2212677001953
2021-08-16,236.54119873046875
2021-08-17,234.8568878173828
2021-08-18,232.44796752929688
2021-08-19,232.45741271972656
2021-08-20,234.48992919921875
2021-08-23,236.63534545898438
2021-08-24,237.32223510742188
2021-08-25,237.94325256347656
2021-08-26,236.52239990234375
2021-08-27,238.72425842285156
2021-08-30,239.7499237060547
2021-08-31,239.21356201171875
2021-09-01,239.5617218017578
2021-09-02,240.3427276611328
2021-09-03,240.3238983154297
2021-09-07,239.354736328125
2021-09-08,238.921875
2021-09-09,237.9997100830078
2021-09-10,236.11776733398438
2021-09-13,236.58828735351562
2021-09-14,235.19561767578125
2021-09-15,237.25636291503906
2021-09-16,237.02113342285156
2021-09-17,234.8568878173828
2021-09-20,230.8859405517578
2021-09-21,230.8859405517578
2021-09-22,233.06907653808594
2021-09-23,235.91078186035156
2021-09-24,236.134521484375
2021-09-27,235.49252319335938
2021-09-28,230.4981231689453
2021-09-29,230.847412109375
2021-09-30,228.2039031982422
2021-10-01,230.82855224609375
2021-10-04,227.84515380859375
2021-10-05,230.07325744628906
2021-10-06,231.0551300048828
2021-10-07,233.18887329101562
2021-10-08,232.72622680664062
2021-10-11,231.03628540039062
2021-10-12,230.82855224609375
2021-10-13,231.81045532226562
2021-10-14,235.66249084472656
2021-10-15,237.39024353027344
2021-10-18,238.23045349121094
2021-10-19,239.90159606933594
2021-10-20,240.77960205078125
2021-10-21,241.704833984375
2021-10-22,241.36495971679688
2021-10-25,242.58285522460938
2021-10-26,242.61117553710938
2021-10-27,241.15724182128906
2021-10-28,243.49868774414062
2021-10-29,243.9424285888672
2021-11-01,244.7071533203125
2021-11-02,245.5001983642578
2021-11-03,247.1713409423828
2021-11-04,248.02102661132812
2021-11-05,248.748046875
2021-11-08,249.16339111328125
2021-11-09,248.427001953125
2021-11-10,246.11392211914062
2021-11-11,246.3310546875
2021-11-12,248.27593994140625
2021-11-15,248.22877502441406
2021-11-16,249.37107849121094
2021-11-17,248.5025177001953
2021-11-18,249.01234436035156
2021-11-19,248.4080810546875
2021-11-22,247.3507080078125
2021-11-23,247.52066040039062
2021-11-24,248.14378356933594
2021-11-26,242.7528533935547
2021-11-29,245.56629943847656
2021-11-30,240.845703125
2021-12-01,237.37132263183594
2021-12-02,241.05340576171875
2021-12-03,238.75917053222656
2021-12-06,241.57269287109375
2021-12-07,246.58595275878906
2021-12-08,247.54898071289062
2021-12-09,245.49073791503906
2021-12-10,247.53956604003906
2021-12-13,245.2006072998047
2021-12-14,243.53396606445312
2021-12-15,247.2838897705078
2021-12-16,244.84075927734375
2021-12-17,242.8521270751953
2021-12-20,240.039794921875
2021-12-21,244.66082763671875
2021-12-22,246.98080444335938
2021-12-23,248.53382873535156
2021-12-27,251.9048614501953
2021-12-28,251.50717163085938
2021-12-29,251.7439727783203
2021-12-30,251.33680725097656
2021-12-31,250.39927673339844
2022-01-03,251.99012756347656
2022-01-04,251.35574340820312
2022-01-05,246.1285858154297
2022-01-06,246.15701293945312
2022-01-07,245.1059112548828
2022-01-10,244.67979431152344
2022-01-11,247.0944366455078
2022-01-12,247.624755859375
2022-01-13,244.0358123779297
2022-01-14,244.14947509765625
2022-01-18,239.44320678710938
2022-01-19,237.15159606933594
2022-01-20,234.5380401611328
2022-01-21,229.82225036621094
2022-01-24,231.03436279296875
2022-01-25,227.93783569335938
2022-01-26,227.05723571777344
2022-01-27,225.79776000976562
2022-01-28,231.42257690429688
2022-01-31,236.29933166503906
2022-02-01,237.89019775390625
2022-02-02,239.71778869628906
2022-02-03,234.00775146484375
2022-02-04,235.50390625
2022-02-07,234.70851135253906
2022-02-08,236.74440002441406
2022-02-09,240.4658966064453
2022-02-10,236.3656768798828
2022-02-11,231.73513793945312
2022-02-14,230.9491424560547
2022-02-15,234.76531982421875
2022-02-16,234.8694610595703
2022-02-17,229.6613311767578
2022-02-18,228.04205322265625
2022-02-22,225.62733459472656
2022-02-23,221.41346740722656
2022-02-24,225.09707641601562
2022-02-25,230.07797241210938
2022-02-28,229.82225036621094
2022-03-01,226.3185577392578
2022-03-02,230.485107421875
2022-03-03,228.9510955810547
2022-03-04,226.65003967285156
2022-03-07,219.73733520507812
2022-03-08,218.25067138671875
2022-03-09,224.22589111328125
2022-03-10,223.25051879882812
2022-03-11,220.17295837402344
2022-03-14,218.27908325195312
2022-03-15,222.947509765625
2022-03-16,228.23143005371094
2022-03-17,231.37525939941406
2022-03-18,233.950927734375
2022-03-21,233.8941192626953
2022-03-22,236.74440002441406
2022-03-23,233.6100311279297
2022-03-24,237.10476684570312
2022-03-25,237.98809814453125
2022-03-28,239.74546813964844
2022-03-29,243.07009887695312
2022-03-30,241.2652587890625
2022-03-31,237.5417022705078
2022-04-01,238.52955627441406
2022-04-04,240.51486206054688
2022-04-05,237.09521484375
2022-04-06,234.67298889160156
2022-04-07,235.5848846435547
2022-04-08,234.92945861816406
2022-04-11,231.16786193847656
2022-04-12,230.39837646484375
2022-04-13,233.2006378173828
2022-04-14,230.29396057128906
2022-04-18,230.04696655273438
2022-04-19,234.03651428222656
2022-04-20,233.71359252929688
2022-04-21,230.06593322753906
2022-04-22,223.71109008789062
2022-04-25,225.11697387695312
2022-04-26,218.6481475830078
2022-04-27,219.1040802001953
2022-04-28,224.49951171875
2022-04-29,216.49188232421875
2022-05-02,217.69825744628906
2022-05-03,218.7146453857422
2022-05-04,225.0694580078125
2022-05-05,216.88133239746094
2022-05-06,215.3044891357422
2022-05-09,207.9807586669922
2022-05-10,208.5411834716797
2022-05-11,204.86508178710938
2022-05-12,204.90309143066406
2022-05-13,210.22250366210938
2022-05-16,209.1776580810547
2022-05-17,213.4711456298828
2022-05-18,205.09307861328125
2022-05-19,204.03868103027344
2022-05-20,204.11468505859375
2022-05-23,207.77178955078125
2022-05-24,205.7959747314453
2022-05-25,207.9522705078125
2022-05-26,212.14132690429688
2022-05-27,217.48931884765625
2022-05-31,215.99790954589844
2022-06-01,214.32614135742188
2022-06-02,218.5911407470703
2022-06-03,215.010009765625
2022-06-06,215.68447875976562
2022-06-07,217.92620849609375
2022-06-08,215.54197692871094
2022-06-09,210.3831024169922
2022-06-10,204.12506103515625
2022-06-13,196.05723571777344
2022-06-14,195.3809051513672
2022-06-15,198.23849487304688
2022-06-16,191.48512268066406
2022-06-17,192.06617736816406
2022-06-21,196.71450805664062
2022-06-22,196.46681213378906
2022-06-23,198.64810180664062
2022-06-24,204.81089782714844
2022-06-27,204.20127868652344
2022-06-28,200.03875732421875
2022-06-29,199.7339324951172
2022-06-30,197.8955535888672
2022-07-01,200.0673065185547
2022-07-05,200.79124450683594
2022-07-06,201.20082092285156
2022-07-07,204.5060577392578
2022-07-08,204.22032165527344
2022-07-11,201.6961212158203
2022-07-12,199.88638305664062
2022-07-13,198.97193908691406
2022-07-14,198.13372802734375
2022-07-15,202.02000427246094
2022-07-18,200.46739196777344
2022-07-19,206.0015411376953
2022-07-20,207.658935546875
2022-07-21,209.7354278564453
2022-07-22,207.5826873779297
2022-07-25,207.79226684570312
2022-07-26,205.17282104492188
2022-07-27,210.57363891601562
2022-07-28,213.2216339111328
2022-07-29,216.24114990234375
2022-08-01,215.79344177246094
2022-08-02,214.49801635742188
2022-08-03,217.93661499023438
2022-08-04,217.86993408203125
2022-08-05,217.66036987304688
2022-08-08,217.66036987304688
2022-08-09,216.4697265625
2022-08-10,221.34664916992188
2022-08-11,221.27044677734375
2022-08-12,225.04238891601562
2022-08-15,225.91871643066406
2022-08-16,226.3473663330078
2022-08-17,224.52806091308594
2022-08-18,225.05194091796875
2022-08-19,221.86099243164062
2022-08-22,217.3174285888672
2022-08-23,216.74594116210938
2022-08-24,217.5841827392578
2022-08-25,220.71795654296875
2022-08-26,213.35499572753906
2022-08-29,211.76429748535156
2022-08-30,209.56396484375
2022-08-31,207.94467163085938
2022-09-01,208.29714965820312
2022-09-02,206.15394592285156
2022-09-06,205.2776336669922
2022-09-07,209.13531494140625
2022-09-08,210.69744873046875
2022-09-09,214.2122802734375
2022-09-12,216.47926330566406
2022-09-13,207.1922149658203
2022-09-14,207.97323608398438
2022-09-15,205.7348175048828
2022-09-16,203.73455810546875
2022-09-19,205.30618286132812
2022-09-20,202.9248809814453
2022-09-21,199.37197875976562
2022-09-22,197.39076232910156
2022-09-23,193.95213317871094
2022-09-26,191.9126434326172
2022-09-27,191.52978515625
2022-09-28,195.4250946044922
2022-09-29,191.51065063476562
2022-09-30,188.8595733642578
2022-10-03,193.60662841796875
2022-10-04,199.7989044189453
2022-10-05,199.36825561523438
2022-10-06,197.52108764648438
2022-10-07,191.93179321289062
2022-10-10,190.3238983154297
2022-10-11,189.0030975341797
2022-10-12,188.486328125
2022-10-13,193.16639709472656
2022-10-14,188.74473571777344
2022-10-17,193.72149658203125
2022-10-18,196.0089111328125
2022-10-19,194.44888305664062
2022-10-20,192.88882446289062
2022-10-21,197.2818145751953
2022-10-24,199.51177978515625
2022-10-25,203.0816650390625
2022-10-26,201.64605712890625
2022-10-27,200.6507110595703
2022-10-28,205.26380920410156
2022-10-31,203.78036499023438
2022-11-01,202.99554443359375
2022-11-02,197.83694458007812
2022-11-03,195.79833984375
2022-11-04,198.29632568359375
2022-11-07,200.17214965820312
2022-11-08,201.2440948486328
2022-11-09,197.0425262451172
2022-11-10,208.19244384765625
2022-11-11,210.364990234375
2022-11-14,208.51788330078125
2022-11-15,210.47988891601562
2022-11-16,208.58486938476562
2022-11-17,207.7426300048828
2022-11-18,208.58486938476562
2022-11-21,207.78094482421875
2022-11-22,210.52774047851562
2022-11-23,211.93463134765625
2022-11-25,211.93463134765625
2022-11-28,208.5752716064453
2022-11-29,208.22116088867188
2022-11-30,214.68142700195312
2022-12-01,214.85369873046875
2022-12-02,214.54742431640625
2022-12-05,210.44158935546875
2022-12-06,207.2928009033203
2022-12-07,206.8429718017578
2022-12-08,208.50831604003906
2022-12-09,207.05352783203125
2022-12-12,210.068359375
2022-12-13,211.6993865966797
2022-12-14,210.4691162109375
2022-12-15,205.10598754882812
2022-12-16,202.69354248046875
2022-12-19,200.9058380126953
2022-12-20,201.1845703125
2022-12-21,204.21214294433594
2022-12-22,201.2710723876953
2022-12-23,202.46287536621094
2022-12-27,201.6170654296875
2022-12-28,199.15658569335938
2022-12-29,202.8088836669922
2022-12-30,202.33792114257812
2023-01-03,201.3383331298828
2023-01-04,203.0587921142578
2023-01-05,200.66551208496094
2023-01-06,205.1348114013672
2023-01-09,205.18287658691406
2023-01-10,206.69189453125
2023-01-11,209.48875427246094
2023-01-12,210.36338806152344
2023-01-13,211.1514892578125
2023-01-17,210.9304962158203
2023-01-18,207.59532165527344
2023-01-19,205.93255615234375
2023-01-20,209.9116668701172
2023-01-23,212.5355682373047
2023-01-24,212.34332275390625
2023-01-25,212.29530334472656
2023-01-26,214.6404266357422
2023-01-27,215.34205627441406
2023-01-30,212.5067138671875
2023-01-31,215.77459716796875
2023-02-01,218.23507690429688
2023-02-02,221.58946228027344
2023-02-03,219.21543884277344
2023-02-06,217.6776123046875
2023-02-07,220.53216552734375
2023-02-08,218.19664001464844
2023-02-09,216.08216857910156
2023-02-10,216.4761962890625
2023-02-13,218.9463348388672
2023-02-14,219.05203247070312
2023-02-15,220.1092987060547
2023-02-16,217.04327392578125
2023-02-17,216.44737243652344
2023-02-21,211.9108123779297
2023-02-22,211.7474365234375
2023-02-23,212.86233520507812
2023-02-24,210.53640747070312
2023-02-27,211.22842407226562
2023-02-28,210.63250732421875
2023-03-01,209.75787353515625
2023-03-02,211.3822021484375
2023-03-03,214.8134307861328
2023-03-06,214.67889404296875
2023-03-07,211.4687042236328
2023-03-08,211.78587341308594
2023-03-09,207.71067810058594
