Date,EFA
2021-04-19,67.76026153564453
2021-04-20,66.54460906982422
2021-04-21,67.2294692993164
2021-04-22,67.00688934326172
2021-04-23,67.6917724609375
2021-04-26,67.74312591552734
2021-04-27,67.52054595947266
2021-04-28,67.6917724609375
2021-04-29,67.71745300292969
2021-04-30,66.86990356445312
2021-05-03,67.60615539550781
2021-05-04,66.6045150756836
2021-05-05,67.5119857788086
2021-05-06,68.06845092773438
2021-05-07,68.83893585205078
2021-05-10,68.47081756591797
2021-05-11,67.57191467285156
2021-05-12,66.49323272705078
2021-05-13,66.98977661132812
2021-05-14,68.11125183105469
2021-05-17,67.98285675048828
2021-05-18,68.12837982177734
2021-05-19,67.52911376953125
2021-05-20,68.41944885253906
2021-05-21,68.51361083984375
2021-05-24,68.93310546875
2021-05-25,68.95023345947266
2021-05-26,68.90744018554688
2021-05-27,69.03583526611328
2021-05-28,69.1985092163086
2021-06-01,69.44676971435547
2021-06-02,69.67792510986328
2021-06-03,69.33547973632812
2021-06-04,69.92617797851562
2021-06-07,70.15734100341797
2021-06-08,70.12309265136719
2021-06-09,69.93474578857422
2021-06-10,70.12740325927734
2021-06-11,70.29228210449219
2021-06-14,70.41377258300781
2021-06-15,70.50054931640625
2021-06-16,70.066650390625
2021-06-17,69.5806884765625
2021-06-18,68.14012908935547
2021-06-21,69.03396606445312
2021-06-22,69.04263305664062
2021-06-23,68.60006713867188
2021-06-24,69.25959777832031
2021-06-25,69.4071273803711
2021-06-28,68.96453857421875
2021-06-29,68.98189544677734
2021-06-30,68.4525375366211
2021-07-01,68.61741638183594
2021-07-02,68.85172271728516
2021-07-06,68.40045928955078
2021-07-07,68.77362823486328
2021-07-08,67.88846588134766
2021-07-09,69.04263305664062
2021-07-12,69.33769989013672
2021-07-13,68.97321319580078
2021-07-14,69.12942504882812
2021-07-15,68.46989440917969
2021-07-16,67.96656799316406
2021-07-19,66.7342758178711
2021-07-20,67.22025299072266
2021-07-21,68.2442626953125
2021-07-22,68.27029418945312
2021-07-23,68.74758911132812
2021-07-26,68.84304809570312
2021-07-27,68.56534576416016
2021-07-28,68.86039733886719
2021-07-29,69.33769989013672
2021-07-30,68.98189544677734
2021-08-02,69.32902526855469
2021-08-03,69.82365417480469
2021-08-04,69.61538696289062
2021-08-05,69.95384216308594
2021-08-06,69.69349670410156
2021-08-09,69.65878295898438
2021-08-10,69.81500244140625
2021-08-11,70.29228210449219
2021-08-12,70.23153686523438
2021-08-13,70.6567611694336
2021-08-16,70.29228210449219
2021-08-17,69.63274383544922
2021-08-18,69.36372375488281
2021-08-19,68.67816162109375
2021-08-20,68.94719696044922
2021-08-23,69.58935546875
2021-08-24,69.73689270019531
2021-08-25,69.76292419433594
2021-08-26,69.39844512939453
2021-08-27,70.03194427490234
2021-08-30,70.01458740234375
2021-08-31,69.9798583984375
2021-09-01,70.61336517333984
2021-09-02,70.89974975585938
2021-09-03,71.22084045410156
2021-09-07,71.27290344238281
2021-09-08,70.70882415771484
2021-09-09,70.58734130859375
2021-09-10,70.43113708496094
2021-09-13,70.98652648925781
2021-09-14,70.69147491455078
2021-09-15,70.89974975585938
2021-09-16,70.78693389892578
2021-09-17,69.85838317871094
2021-09-20,68.56534576416016
2021-09-21,69.24224090576172
