Date,DIA
2021-04-19,312.0796203613281
2021-04-20,309.6708679199219
2021-04-21,312.583251953125
2021-04-22,309.6708679199219
2021-04-23,311.7864990234375
2021-04-26,311.2735595703125
2021-04-27,311.23687744140625
2021-04-28,309.89971923828125
2021-04-29,311.9146728515625
2021-04-30,310.4217224121094
2021-05-03,312.4092102050781
2021-05-04,312.75732421875
2021-05-05,313.4808044433594
2021-05-06,316.43902587890625
2021-05-07,318.60955810546875
2021-05-10,318.4813232421875
2021-05-11,314.057861328125
2021-05-12,307.7291259765625
2021-05-13,311.80474853515625
2021-05-14,315.2940979003906
2021-05-17,314.735595703125
2021-05-18,312.4092102050781
2021-05-19,310.8797302246094
2021-05-20,312.7848205566406
2021-05-21,313.9071350097656
2021-05-24,315.6692810058594
2021-05-25,314.9533386230469
2021-05-26,315.0359191894531
2021-05-27,316.25640869140625
2021-05-28,317.2110900878906
2021-06-01,317.42205810546875
2021-06-02,317.8718566894531
2021-06-03,317.5599060058594
2021-06-04,319.2850341796875
2021-06-07,318.0829162597656
2021-06-08,317.8534240722656
2021-06-09,316.430908203125
2021-06-10,316.6051330566406
2021-06-11,316.7337646484375
2021-06-14,315.9813232421875
2021-06-15,315.1644592285156
2021-06-16,312.7324523925781
2021-06-17,310.79595947265625
2021-06-18,306.01953125
2021-06-21,311.36865234375
2021-06-22,311.98431396484375
2021-06-23,311.36865234375
2021-06-24,314.3097229003906
2021-06-25,316.579833984375
2021-06-28,315.0632629394531
2021-06-29,315.1184387207031
2021-06-30,317.0392761230469
2021-07-01,318.3353271484375
2021-07-02,319.7873840332031
2021-07-06,317.8389587402344
2021-07-07,318.8498840332031
2021-07-08,316.51544189453125
2021-07-09,320.5135498046875
2021-07-12,321.7082214355469
2021-07-13,320.76153564453125
2021-07-14,321.1385192871094
2021-07-15,321.6256103515625
2021-07-16,318.8730773925781
2021-07-19,312.5644226074219
2021-07-20,317.3464050292969
2021-07-21,320.0225524902344
2021-07-22,320.2709655761719
2021-07-23,322.3952941894531
2021-07-26,323.16778564453125
2021-07-27,322.4412841796875
2021-07-28,321.2825012207031
2021-07-29,322.6251525878906
2021-07-30,321.3927917480469
2021-08-02,320.35382080078125
2021-08-03,322.87347412109375
2021-08-04,320.0225524902344
2021-08-05,322.4320373535156
2021-08-06,323.7930908203125
2021-08-09,322.9286193847656
2021-08-10,324.3817138671875
2021-08-11,326.41412353515625
2021-08-12,326.68072509765625
2021-08-13,326.8280334472656
2021-08-16,327.9132385253906
2021-08-17,325.393310546875
2021-08-18,321.9814453125
2021-08-19,321.3927917480469
2021-08-20,323.50347900390625
2021-08-23,325.6131591796875
2021-08-24,325.8802490234375
2021-08-25,326.2856140136719
2021-08-26,324.4247131347656
2021-08-27,326.6449279785156
2021-08-30,326.1934814453125
2021-08-31,326.046142578125
2021-09-01,325.7051696777344
2021-09-02,326.9212951660156
2021-09-03,326.248779296875
2021-09-07,323.761474609375
2021-09-08,323.10748291015625
2021-09-09,321.79913330078125
2021-09-10,319.3946838378906
2021-09-13,321.7899169921875
2021-09-14,319.1827392578125
2021-09-15,321.3477783203125
2021-09-16,320.75830078125
2021-09-17,319.0926818847656
2021-09-20,313.33197021484375
2021-09-21,313.0642395019531
2021-09-22,316.1940002441406
2021-09-23,320.8652038574219
2021-09-24,321.15130615234375
2021-09-27,321.834716796875
2021-09-28,316.58160400390625
2021-09-29,317.3663635253906
2021-09-30,312.3072204589844
2021-10-01,316.82171630859375
2021-10-04,313.895263671875
2021-10-05,316.7756042480469
2021-10-06,317.6893615722656
2021-10-07,320.92999267578125
2021-10-08,320.8376159667969
2021-10-11,318.4833984375
2021-10-12,317.37567138671875
2021-10-13,317.4772033691406
2021-10-14,322.3146667480469
2021-10-15,325.8581848144531
2021-10-18,325.53485107421875
2021-10-19,327.344970703125
2021-10-20,328.7949523925781
2021-10-21,328.7302551269531
2021-10-22,329.4506530761719
2021-10-25,330.1985778808594
2021-10-26,330.1524658203125
2021-10-27,327.8251647949219
2021-10-28,329.9677734375
2021-10-29,330.82666015625
2021-11-01,331.6578063964844
2021-11-02,332.9876708984375
2021-11-03,333.9018859863281
2021-11-04,333.70794677734375
2021-11-05,335.50872802734375
2021-11-08,336.4508361816406
2021-11-09,335.4902038574219
2021-11-10,333.4493713378906
2021-11-11,331.9624938964844
2021-11-12,333.64324951171875
2021-11-15,333.60638427734375
2021-11-16,334.2435607910156
2021-11-17,332.32257080078125
2021-11-18,331.8609313964844
2021-11-19,329.3265686035156
2021-11-22,329.5948181152344
2021-11-23,331.27880859375
2021-11-24,331.2880859375
2021-11-26,322.95123291015625
2021-11-29,324.9591064453125
2021-11-30,319.138916015625
2021-12-01,315.0304870605469
2021-12-02,320.7210998535156
2021-12-03,320.3788146972656
2021-12-06,326.4672546386719
2021-12-07,331.0198669433594
2021-12-08,331.2510986328125
2021-12-09,331.3620910644531
2021-12-10,333.32391357421875
2021-12-13,330.3721008300781
2021-12-14,329.567138671875
2021-12-15,332.93524169921875
2021-12-16,332.5928955078125
2021-12-17,327.8205261230469
2021-12-20,323.7787780761719
2021-12-21,329.00714111328125
2021-12-22,331.3061828613281
2021-12-23,333.1323547363281
2021-12-27,336.4326171875
2021-12-28,337.4244079589844
2021-12-29,338.2124938964844
2021-12-30,337.49871826171875
2021-12-31,336.8033447265625
2022-01-03,338.99114990234375
2022-01-04,341.0213928222656
2022-01-05,337.5171203613281
2022-01-06,335.9413757324219
2022-01-07,335.8670349121094
2022-01-10,334.4580078125
2022-01-11,336.0804443359375
2022-01-12,336.4603271484375
2022-01-13,334.8380126953125
2022-01-14,332.928466796875
2022-01-18,328.0245056152344
2022-01-19,324.77984619140625
2022-01-20,321.9802551269531
2022-01-21,317.59979248046875
2022-01-24,318.95416259765625
2022-01-25,318.16558837890625
2022-01-26,316.7740173339844
2022-01-27,316.85760498046875
2022-01-28,322.0155944824219
2022-01-31,325.6985778808594
2022-02-01,328.351806640625
2022-02-02,330.2906799316406
2022-02-03,325.6058654785156
2022-02-04,325.5037841796875
2022-02-07,325.5316162109375
2022-02-08,328.9085388183594
2022-02-09,331.8122863769531
2022-02-10,327.0624084472656
2022-02-11,322.1825866699219
2022-02-14,320.8837890625
2022-02-15,324.9008483886719
2022-02-16,324.390625
2022-02-17,318.83355712890625
2022-02-18,316.8072204589844
2022-02-22,312.1895751953125
2022-02-23,308.017822265625
2022-02-24,308.77978515625
2022-02-25,316.39837646484375
