Date,LQD
2021-04-19,108.15193939208984
2021-04-20,108.35879516601562
2021-04-21,108.73108673095703
2021-04-22,108.83859252929688
2021-04-23,108.9295883178711
2021-04-26,108.87996673583984
2021-04-27,108.39188385009766
2021-04-28,108.40840148925781
2021-04-29,108.27607727050781
2021-04-30,108.49940490722656
2021-05-03,108.76052856445312
2021-05-04,108.82683563232422
2021-05-05,108.95944213867188
2021-05-06,109.16670989990234
2021-05-07,109.2081298828125
2021-05-10,108.6196060180664
2021-05-11,108.22173309326172
2021-05-12,107.6332015991211
2021-05-13,108.03933715820312
2021-05-14,108.62792205810547
2021-05-17,108.50352478027344
2021-05-18,108.1471176147461
2021-05-19,107.95650482177734
2021-05-20,108.6942367553711
2021-05-21,108.7688217163086
2021-05-24,109.06720733642578
2021-05-25,109.4734115600586
2021-05-26,109.41537475585938
2021-05-27,109.08380889892578
2021-05-28,109.17499542236328
2021-06-01,109.1891098022461
2021-06-02,109.36351776123047
2021-06-03,108.9316177368164
2021-06-04,109.70401763916016
2021-06-07,109.61263275146484
2021-06-08,110.0279312133789
2021-06-09,110.42658233642578
2021-06-10,110.92489624023438
2021-06-11,111.01622009277344
2021-06-14,110.60929870605469
2021-06-15,110.69234466552734
2021-06-16,110.37677001953125
2021-06-17,110.9913330078125
2021-06-18,111.5727310180664
2021-06-21,110.92489624023438
2021-06-22,111.10758972167969
2021-06-23,110.9332046508789
2021-06-24,111.14913177490234
2021-06-25,110.85843658447266
2021-06-28,111.33184814453125
2021-06-29,111.46475982666016
2021-06-30,111.58931732177734
2021-07-01,111.49198150634766
2021-07-02,111.80819702148438
2021-07-06,112.21590423583984
2021-07-07,112.59866333007812
2021-07-08,112.6568603515625
2021-07-09,112.18260955810547
2021-07-12,112.12432861328125
2021-07-13,111.70830535888672
2021-07-14,112.22423553466797
2021-07-15,112.46551513671875
2021-07-16,112.30738830566406
2021-07-19,113.11454010009766
2021-07-20,112.9564437866211
2021-07-21,112.55704498291016
2021-07-22,113.02301788330078
2021-07-23,112.97312927246094
2021-07-26,112.7234878540039
2021-07-27,113.20610046386719
2021-07-28,113.40576171875
2021-07-29,113.08126831054688
2021-07-30,113.17279052734375
2021-08-02,113.50044250488281
2021-08-03,113.61711883544922
2021-08-04,113.64208984375
2021-08-05,113.17530059814453
2021-08-06,112.25003051757812
2021-08-09,111.76655578613281
2021-08-10,111.51648712158203
2021-08-11,111.69154357910156
2021-08-12,111.84990692138672
2021-08-13,112.60014343261719
2021-08-16,112.66680145263672
2021-08-17,112.46675872802734
2021-08-18,112.39175415039062
2021-08-19,112.65019226074219
2021-08-20,112.72516632080078
2021-08-23,112.80852508544922
2021-08-24,112.55009460449219
2021-08-25,112.25833892822266
2021-08-26,112.22502899169922
2021-08-27,112.8502197265625
2021-08-30,113.04192352294922
2021-08-31,112.78350067138672
2021-09-01,112.92884063720703
2021-09-02,113.1291732788086
2021-09-03,112.7200698852539
2021-09-07,112.18561553955078
2021-09-08,112.54469299316406
2021-09-09,113.2795181274414
2021-09-10,112.95386505126953
2021-09-13,113.22943115234375
2021-09-14,113.57176971435547
2021-09-15,113.43816375732422
2021-09-16,113.2795181274414
2021-09-17,113.02899932861328
2021-09-20,113.37969207763672
2021-09-21,113.37137603759766
2021-09-22,113.68867492675781
2021-09-23,112.90374755859375
2021-09-24,112.66161346435547
2021-09-27,112.6031494140625
2021-09-28,111.40071868896484
2021-09-29,111.37566375732422
2021-09-30,111.08340454101562
2021-10-01,111.89073181152344
2021-10-04,111.70671081542969
2021-10-05,111.24658966064453
2021-10-06,111.27999114990234
2021-10-07,110.7863998413086
2021-10-08,110.27603912353516
2021-10-11,110.0668716430664
2021-10-12,110.76969146728516
2021-10-13,111.3302230834961
2021-10-14,111.8572769165039
2021-10-15,111.45568084716797
2021-10-18,111.36367797851562
2021-10-19,110.7529525756836
2021-10-20,110.48521423339844
2021-10-21,110.2509536743164
2021-10-22,110.69438171386719
2021-10-25,110.74454498291016
2021-10-26,111.221435546875
2021-10-27,111.89910125732422
2021-10-28,111.73179626464844
2021-10-29,111.67320251464844
2021-11-01,111.47369384765625
2021-11-02,111.90123748779297
2021-11-03,111.6162338256836
2021-11-04,112.20301055908203
2021-11-05,113.0245361328125
2021-11-08,112.76468658447266
2021-11-09,113.06645965576172
2021-11-10,111.90963745117188
2021-11-11,111.59107208251953
2021-11-12,111.47369384765625
2021-11-15,110.62705993652344
2021-11-16,110.44264221191406
2021-11-17,110.8869400024414
2021-11-18,111.138427734375
2021-11-19,111.55753326416016
2021-11-22,110.58515167236328
2021-11-23,109.79721069335938
2021-11-24,110.32527160644531
2021-11-26,111.22222137451172
2021-11-29,111.29767608642578
2021-11-30,111.54078674316406
2021-12-01,111.5567626953125
2021-12-02,111.81707000732422
2021-12-03,112.74925994873047
2021-12-06,112.17816162109375
2021-12-07,112.22858428955078
2021-12-08,111.4811782836914
2021-12-09,111.38875579833984
2021-12-10,111.51475524902344
2021-12-13,112.01861572265625
2021-12-14,111.51475524902344
2021-12-15,111.65750885009766
2021-12-16,111.65416717529297
2021-12-17,111.91497802734375
2021-12-20,111.42696380615234
2021-12-21,111.64569091796875
