Date,VGK
2021-04-19,56.66243362426758
2021-04-20,55.66866683959961
2021-04-21,56.17829132080078
2021-04-22,55.982940673828125
2021-04-23,56.5350341796875
2021-04-26,56.70490646362305
2021-04-27,56.72189712524414
2021-04-28,56.900264739990234
2021-04-29,56.917259216308594
2021-04-30,56.06786346435547
2021-05-03,56.78984451293945
2021-05-04,55.83852767944336
2021-05-05,56.64546203613281
2021-05-06,57.07014465332031
2021-05-07,57.9365119934082
2021-05-10,57.494834899902344
2021-05-11,56.832313537597656
2021-05-12,56.195274353027344
2021-05-13,56.6539306640625
2021-05-14,57.69867706298828
2021-05-17,57.673213958740234
2021-05-18,57.72417449951172
2021-05-19,57.09563064575195
2021-05-20,57.978981018066406
2021-05-21,58.01296615600586
2021-05-24,58.38667297363281
2021-05-25,58.41216278076172
2021-05-26,58.242286682128906
2021-05-27,58.42066192626953
2021-05-28,58.565059661865234
2021-06-01,59.01524353027344
2021-06-02,59.10017013549805
2021-06-03,58.6839714050293
2021-06-04,59.16812515258789
2021-06-07,59.43992614746094
2021-06-08,59.43143844604492
2021-06-09,59.32950973510742
2021-06-10,59.40595626831055
2021-06-11,59.6013069152832
2021-06-14,59.75419998168945
2021-06-15,59.762699127197266
2021-06-16,59.1766242980957
2021-06-17,58.63300704956055
2021-06-18,57.48633575439453
2021-06-21,58.34512710571289
2021-06-22,58.362300872802734
2021-06-23,58.00162124633789
2021-06-24,58.559810638427734
2021-06-25,58.68003463745117
2021-06-28,58.22489547729492
2021-06-29,58.259246826171875
2021-06-30,57.761146545410156
2021-07-01,58.10465621948242
2021-07-02,58.267818450927734
2021-07-06,57.8985481262207
2021-07-07,58.259246826171875
2021-07-08,57.512088775634766
2021-07-09,58.42241668701172
2021-07-12,58.705806732177734
2021-07-13,58.336517333984375
2021-07-14,58.430999755859375
2021-07-15,57.8040885925293
2021-07-16,57.41763687133789
2021-07-19,56.24971008300781
2021-07-20,56.584617614746094
2021-07-21,57.666690826416016
2021-07-22,57.761146545410156
2021-07-23,58.259246826171875
2021-07-26,58.48252487182617
2021-07-27,58.35369873046875
2021-07-28,58.6542854309082
2021-07-29,59.10942459106445
2021-07-30,58.834617614746094
2021-08-02,59.10942459106445
2021-08-03,59.53881072998047
2021-08-04,59.48728561401367
2021-08-05,59.796424865722656
2021-08-06,59.470123291015625
2021-08-09,59.42717361450195
2021-08-10,59.59033203125
2021-08-11,60.0025520324707
2021-08-12,59.985374450683594
2021-08-13,60.44053268432617
2021-08-16,60.114200592041016
2021-08-17,59.633277893066406
2021-08-18,59.470123291015625
2021-08-19,58.774505615234375
2021-08-20,59.10942459106445
2021-08-23,59.62468719482422
2021-08-24,59.667640686035156
2021-08-25,59.74491882324219
2021-08-26,59.392826080322266
2021-08-27,60.06267166137695
2021-08-30,60.06267166137695
2021-08-31,59.89949417114258
2021-09-01,60.32028579711914
2021-09-02,60.62946319580078
2021-09-03,60.41475296020508
2021-09-07,60.182884216308594
2021-09-08,59.555992126464844
2021-09-09,59.375648498535156
2021-09-10,59.20389175415039
2021-09-13,59.547393798828125
2021-09-14,59.392826080322266
2021-09-15,59.40140914916992
2021-09-16,59.375648498535156
2021-09-17,58.430999755859375
2021-09-20,57.29256820678711
2021-09-21,57.888553619384766
2021-09-22,58.44135284423828
2021-09-23,59.22736358642578
2021-09-24,58.527732849121094
2021-09-27,58.44135284423828
2021-09-28,57.06800842285156
2021-09-29,56.86932373046875
2021-09-30,56.67066955566406
2021-10-01,57.02481460571289
2021-10-04,56.73114013671875
2021-10-05,57.007537841796875
2021-10-06,56.6361198425293
2021-10-07,57.059356689453125
2021-10-08,57.093910217285156
