Date,ACWI
2021-04-19,90.93870544433594
2021-04-20,89.9676742553711
2021-04-21,90.76465606689453
2021-04-22,90.21501159667969
2021-04-23,91.19520568847656
2021-04-26,91.3875961303711
2021-04-27,91.35094451904297
2021-04-28,91.49750518798828
2021-04-29,91.71736907958984
2021-04-30,90.86543273925781
2021-05-03,91.22269439697266
2021-05-04,90.361572265625
2021-05-05,90.69136810302734
2021-05-06,91.34178161621094
2021-05-07,92.16624450683594
2021-05-10,91.25932312011719
2021-05-11,90.5081558227539
2021-05-12,88.63936614990234
2021-05-13,89.35388946533203
2021-05-14,90.76465606689453
2021-05-17,90.62724304199219
2021-05-18,90.37989807128906
2021-05-19,89.95851135253906
2021-05-20,90.9936752319336
2021-05-21,90.89290618896484
2021-05-24,91.60745239257812
2021-05-25,91.60745239257812
2021-05-26,91.82730102539062
2021-05-27,91.92807006835938
2021-05-28,92.202880859375
2021-06-01,92.50518798828125
2021-06-02,92.60594940185547
2021-06-03,92.12043762207031
2021-06-04,92.97238159179688
2021-06-07,92.99986267089844
2021-06-08,92.95407104492188
2021-06-09,92.71588134765625
2021-06-10,93.180908203125
2021-06-11,93.35623168945312
2021-06-14,93.59613037109375
2021-06-15,93.41158294677734
2021-06-16,92.81184387207031
2021-06-17,92.63654327392578
2021-06-18,91.40937042236328
2021-06-21,92.4889144897461
2021-06-22,92.86720275878906
2021-06-23,92.69190216064453
2021-06-24,93.34699249267578
2021-06-25,93.72530364990234
2021-06-28,93.6976318359375
2021-06-29,93.7345199584961
2021-06-30,93.36546325683594
2021-07-01,93.75299072265625
2021-07-02,94.18663024902344
2021-07-06,93.78987884521484
2021-07-07,93.99288940429688
2021-07-08,92.95947265625
2021-07-09,94.18663024902344
2021-07-12,94.46343994140625
2021-07-13,94.1405029296875
2021-07-14,94.26966857910156
2021-07-15,93.8729248046875
2021-07-16,93.1624755859375
2021-07-19,91.75078582763672
2021-07-20,92.76570892333984
2021-07-21,93.74375915527344
2021-07-22,93.9006118774414
2021-07-23,94.49111938476562
2021-07-26,94.43576049804688
2021-07-27,93.79911804199219
2021-07-28,94.2327651977539
2021-07-29,94.74946594238281
2021-07-30,94.21431732177734
2021-08-02,94.26045227050781
2021-08-03,94.93400573730469
2021-08-04,94.740234375
2021-08-05,95.14620208740234
2021-08-06,94.9893569946289
2021-08-09,95.03550720214844
2021-08-10,95.15544128417969
2021-08-11,95.45069885253906
2021-08-12,95.49683380126953
2021-08-13,95.73672485351562
2021-08-16,95.60755157470703
2021-08-17,94.72178649902344
2021-08-18,94.07591247558594
2021-08-19,93.57766723632812
2021-08-20,94.13127136230469
2021-08-23,95.08163452148438
2021-08-24,95.51528930664062
2021-08-25,95.6352310180664
2021-08-26,95.02626037597656
2021-08-27,95.9397201538086
2021-08-30,96.19806671142578
2021-08-31,96.26265716552734
2021-09-01,96.65940856933594
2021-09-02,96.9269790649414
2021-09-03,97.14842224121094
2021-09-07,97.00080108642578
2021-09-08,96.48409271240234
2021-09-09,96.22575378417969
2021-09-10,95.66292572021484
2021-09-13,96.0135269165039
2021-09-14,95.44147491455078
2021-09-15,96.0135269165039
2021-09-16,95.76441192626953
2021-09-17,94.81404876708984
2021-09-20,93.14401245117188
2021-09-21,93.36546325683594
2021-09-22,94.22354888916016
2021-09-23,95.25695037841797
2021-09-24,94.9893569946289
2021-09-27,94.88786315917969
2021-09-28,93.01483917236328
2021-09-29,92.85798645019531
2021-09-30,92.19366455078125
2021-10-01,92.96870422363281
2021-10-04,91.8245849609375
2021-10-05,92.61809539794922
2021-10-06,92.69190216064453
2021-10-07,93.70684051513672
2021-10-08,93.60535430908203
2021-10-11,93.05174255371094
2021-10-12,92.9317855834961
2021-10-13,93.6330337524414
2021-10-14,94.84172821044922
2021-10-15,95.61677551269531
2021-10-18,95.67214965820312
2021-10-19,96.48409271240234
2021-10-20,96.7701187133789
2021-10-21,96.78856658935547
2021-10-22,96.79781341552734
2021-10-25,97.12995910644531
2021-10-26,97.07461547851562
2021-10-27,96.5948257446289
2021-10-28,97.4344482421875
2021-10-29,97.1668701171875
2021-11-01,97.6558837890625
2021-11-02,97.71124267578125
2021-11-03,98.33868408203125
2021-11-04,98.5508804321289
2021-11-05,98.74464416503906
2021-11-08,98.92918395996094
2021-11-09,98.68006134033203
2021-11-10,97.78506469726562
2021-11-11,98.1080093383789
2021-11-12,98.79077911376953
2021-11-15,98.73542022705078
2021-11-16,98.93841552734375
2021-11-17,98.66160583496094
2021-11-18,98.68927764892578
2021-11-19,98.33868408203125
2021-11-22,97.74816131591797
2021-11-23,97.72048950195312
2021-11-24,97.75736999511719
2021-11-26,95.37689208984375
2021-11-29,96.23497009277344
2021-11-30,94.92477416992188
2021-12-01,93.8729248046875
2021-12-02,95.22926330566406
2021-12-03,94.41729736328125
2021-12-06,95.36766052246094
2021-12-07,97.4344482421875
2021-12-08,97.71124267578125
2021-12-09,96.93620300292969
2021-12-10,97.46212768554688
2021-12-13,96.49040985107422
2021-12-14,95.96869659423828
2021-12-15,97.16120910644531
2021-12-16,96.69538879394531
2021-12-17,95.74510955810547
2021-12-20,94.8414077758789
2021-12-21,96.387939453125
2021-12-22,97.2916488647461
2021-12-23,97.91584014892578
2021-12-27,98.98722839355469
2021-12-28,98.88475036621094
2021-12-29,98.89405822753906
2021-12-30,98.77381134033203
2021-12-31,98.61531066894531
2022-01-03,99.13737487792969
2022-01-04,99.0534896850586
2022-01-05,97.44065856933594
2022-01-06,97.23555755615234
2022-01-07,97.2169189453125
2022-01-10,96.93724060058594
2022-01-11,98.09325408935547
2022-01-12,98.68990325927734
2022-01-13,97.3660888671875
2022-01-14,97.39404296875
2022-01-18,95.70664978027344
2022-01-19,95.12864685058594
2022-01-20,94.3828125
2022-01-21,92.7793197631836
2022-01-24,92.63016510009766
2022-01-25,91.69788360595703
2022-01-26,91.24108123779297
2022-01-27,90.77494049072266
2022-01-28,92.22928619384766
2022-01-31,94.13111114501953
2022-02-01,94.85828399658203
2022-02-02,95.4642562866211
2022-02-03,93.63701629638672
2022-02-04,94.05652618408203
2022-02-07,93.87007141113281
2022-02-08,94.59725189208984
2022-02-09,96.08887481689453
2022-02-10,94.69979858398438
2022-02-11,92.90052032470703
2022-02-14,92.55558013916016
2022-02-15,94.17772674560547
2022-02-16,94.39215087890625
2022-02-17,92.56490325927734
2022-02-18,91.8750228881836
2022-02-22,90.81222534179688
2022-02-23,89.52570343017578
2022-02-24,89.89861297607422
2022-02-25,91.89366149902344
2022-02-28,91.25040435791016
2022-03-01,89.70284271240234
2022-03-02,90.9893569946289
2022-03-03,90.06642150878906
2022-03-04,88.7332763671875
2022-03-07,85.97376251220703
2022-03-08,85.87120819091797
2022-03-09,88.47224426269531
2022-03-10,87.7730484008789
2022-03-11,86.56109619140625
2022-03-14,86.0017318725586
2022-03-15,87.34420013427734
2022-03-16,90.29949188232422
2022-03-17,91.22244262695312
2022-03-18,92.22928619384766
2022-03-21,91.90299224853516
2022-03-22,93.01238250732422
2022-03-23,91.9682388305664
2022-03-24,93.03102111816406
2022-03-25,93.20816802978516
2022-03-28,93.57174682617188
2022-03-29,95.07270812988281
2022-03-30,94.54131317138672
2022-03-31,93.0217056274414
2022-04-01,93.627685546875
2022-04-04,94.53199005126953
2022-04-05,93.18018341064453
2022-04-06,92.10809326171875
2022-04-07,92.30386352539062
2022-04-08,92.21995544433594
2022-04-11,90.90546417236328
2022-04-12,90.40203857421875
2022-04-13,91.4927978515625
2022-04-14,90.53256225585938
2022-04-18,90.38339233398438
2022-04-19,91.34363555908203
2022-04-20,91.42754364013672
2022-04-21,90.01049041748047
2022-04-22,87.9874496459961
2022-04-25,88.12730407714844
2022-04-26,85.69408416748047
2022-04-27,86.02037811279297
2022-04-28,87.81964874267578
2022-04-29,85.51695251464844
2022-05-02,85.796630859375
2022-05-03,86.31869506835938
2022-05-04,88.3510513305664
2022-05-05,85.3398208618164
2022-05-06,84.49146270751953
2022-05-09,81.81585693359375
2022-05-10,82.1048583984375
2022-05-11,81.07936096191406
2022-05-12,80.96747589111328
2022-05-13,83.10237121582031
2022-05-16,82.83201599121094
2022-05-17,84.5101089477539
2022-05-18,81.68533325195312
2022-05-19,81.75991821289062
2022-05-20,81.99298095703125
2022-05-23,83.3167953491211
2022-05-24,82.62692260742188
2022-05-25,83.19561004638672
2022-05-26,84.56603240966797
2022-05-27,86.29074096679688
2022-05-31,85.8991928100586
2022-06-01,85.2652359008789
2022-06-02,86.9806137084961
2022-06-03,85.53560638427734
2022-06-06,85.84326171875
2022-06-07,86.49583435058594
2022-06-08,85.68476104736328
2022-06-09,83.6871566772461
2022-06-10,81.51358795166016
2022-06-13,78.4931640625
2022-06-14,78.25792694091797
2022-06-15,79.45292663574219
2022-06-16,77.12879180908203
2022-06-17,77.0911636352539
2022-06-21,78.8130874633789
2022-06-22,78.3614273071289
2022-06-23,78.8130874633789
2022-06-24,81.21247100830078
2022-06-27,80.97723388671875
2022-06-28,79.7822494506836
2022-06-29,79.56583404541016
2022-06-30,78.93540954589844
2022-07-01,79.49055480957031
2022-07-05,79.0859603881836
2022-07-06,79.19886016845703
2022-07-07,80.45973205566406
2022-07-08,80.40326690673828
2022-07-11,79.26472473144531
2022-07-12,78.77545166015625
2022-07-13,78.45551300048828
2022-07-14,77.919189453125
2022-07-15,79.24591827392578
2022-07-18,79.02949523925781
2022-07-19,81.03369140625
2022-07-20,81.28775787353516
2022-07-21,82.11577606201172
2022-07-22,81.41947937011719
2022-07-25,81.67354583740234
2022-07-26,80.685546875
2022-07-27,82.66152954101562
2022-07-28,83.451904296875
2022-07-29,84.51517486572266
2022-08-01,84.24230194091797
2022-08-02,83.5836410522461
2022-08-03,84.65631103515625
2022-08-04,84.78805541992188
2022-08-05,84.52458190917969
2022-08-08,84.5622329711914
2022-08-09,84.15762329101562
2022-08-10,85.91716003417969
2022-08-11,85.9924545288086
2022-08-12,87.17802429199219
2022-08-15,87.15921020507812
2022-08-16,87.2250747680664
2022-08-17,86.59465026855469
2022-08-18,86.56641387939453
2022-08-19,85.40906524658203
2022-08-22,83.80005645751953
2022-08-23,83.79064178466797
2022-08-24,84.00706481933594
2022-08-25,85.24910736083984
2022-08-26,82.70856475830078
2022-08-29,82.2004623413086
2022-08-30,81.3536148071289
2022-08-31,80.82669067382812
2022-09-01,80.62909698486328
2022-09-02,79.93279266357422
2022-09-06,79.49055480957031
2022-09-07,80.67613220214844
2022-09-08,81.05252838134766
2022-09-09,82.5486068725586
2022-09-12,83.56482696533203
2022-09-13,80.26213073730469
2022-09-14,80.58203887939453
2022-09-15,79.74461364746094
2022-09-16,79.02949523925781
2022-09-19,79.5470199584961
2022-09-20,78.56843566894531
2022-09-21,77.27935028076172
2022-09-22,76.70537567138672
2022-09-23,75.09636688232422
2022-09-26,74.20247650146484
2022-09-27,73.95783996582031
2022-09-28,75.47274780273438
2022-09-29,74.05192565917969
2022-09-30,73.23332214355469
2022-10-03,74.97405242919922
2022-10-04,77.53340148925781
2022-10-05,77.18524932861328
2022-10-06,76.29136657714844
2022-10-07,74.35301971435547
2022-10-10,73.7602310180664
2022-10-11,73.13921356201172
2022-10-12,72.94161987304688
2022-10-13,74.5882568359375
2022-10-14,73.00747680664062
2022-10-17,74.89875793457031
2022-10-18,75.6044692993164
2022-10-19,74.8329086303711
2022-10-20,74.47535705566406
2022-10-21,76.05612182617188
2022-10-24,76.28194427490234
2022-10-25,77.62749481201172
2022-10-26,77.63690185546875
2022-10-27,77.16644287109375
2022-10-28,78.39906311035156
2022-10-31,77.88154602050781
2022-11-01,77.95682525634766
2022-11-02,76.35723876953125
2022-11-03,75.68917846679688
2022-11-04,77.46753692626953
2022-11-07,77.95682525634766
2022-11-08,78.50257110595703
2022-11-09,77.05352783203125
2022-11-10,81.18424224853516
2022-11-11,82.41686248779297
2022-11-14,81.67354583740234
2022-11-15,82.46392059326172
2022-11-16,81.84291076660156
2022-11-17,81.64530181884766
2022-11-18,81.80526733398438
2022-11-21,81.3536148071289
2022-11-22,82.36984252929688
2022-11-23,83.00967407226562
2022-11-25,83.07553100585938
2022-11-28,81.87113189697266
2022-11-29,82.0405044555664
2022-11-30,84.37403106689453
2022-12-01,84.49635314941406
2022-12-02,84.42108154296875
2022-12-05,82.9814453125
2022-12-06,82.09696197509766
2022-12-07,81.94640350341797
2022-12-08,82.57683563232422
2022-12-09,82.181640625
2022-12-12,82.91558074951172
2022-12-13,83.6798324584961
2022-12-14,83.3574447631836
2022-12-15,81.3093032836914
2022-12-16,80.52228546142578
2022-12-19,80.02921295166016
2022-12-20,80.20938110351562
2022-12-21,81.26188659667969
2022-12-22,80.28523254394531
2022-12-23,80.65503692626953
2022-12-27,80.62659454345703
2022-12-28,79.58354949951172
2022-12-29,80.96794891357422
2022-12-30,80.4843521118164
2023-01-03,80.50333404541016
2023-01-04,81.52739715576172
2023-01-05,80.6929702758789
2023-01-06,82.56094360351562
2023-01-09,82.74110412597656
2023-01-10,83.20573425292969
2023-01-11,84.07807922363281
2023-01-12,84.66597747802734
2023-01-13,85.04527282714844
2023-01-17,84.98836517333984
2023-01-18,84.05912017822266
2023-01-19,83.72724151611328
2023-01-20,85.02629852294922
2023-01-23,85.77538299560547
2023-01-24,85.66159057617188
2023-01-25,85.86072540283203
2023-01-26,86.59085083007812
2023-01-27,86.63825988769531
2023-01-30,85.59521484375
2023-01-31,86.52446746826172
2023-02-01,87.40631866455078
2023-02-02,88.11747741699219
2023-02-03,87.10289764404297
2023-02-06,86.38224792480469
2023-02-07,87.30200958251953
2023-02-08,86.55292510986328
2023-02-09,86.17363739013672
2023-02-10,86.0977783203125
2023-02-13,87.00807189941406
2023-02-14,87.05547332763672
2023-02-15,87.11238098144531
2023-02-16,86.23054504394531
2023-02-17,86.01244354248047
2023-02-21,84.54270935058594
2023-02-22,84.31513214111328
2023-02-23,84.7228775024414
2023-02-24,83.59449768066406
2023-02-27,84.08756256103516
2023-02-28,83.65139770507812
2023-03-01,83.83155059814453
2023-03-02,84.28669738769531
2023-03-03,85.55729675292969
2023-03-06,85.50040435791016
2023-03-07,84.15394592285156
2023-03-08,84.3341064453125
2023-03-09,82.97815704345703
2023-03-10,81.8877182006836
2023-03-13,81.6791000366211
2023-03-14,82.80748748779297
2023-03-15,81.66014862060547
2023-03-16,82.98764038085938
2023-03-17,82.08683013916016
2023-03-20,82.88334655761719
2023-03-21,83.98326873779297
2023-03-22,83.08245849609375
2023-03-23,83.30054473876953
2023-03-24,83.49967193603516
2023-03-27,83.79361724853516
2023-03-28,83.8694839477539
2023-03-29,84.89353942871094
2023-03-30,85.58574676513672
2023-03-31,86.43914031982422
2023-04-03,86.94169616699219
2023-04-04,86.63825988769531
2023-04-05,86.19259643554688
2023-04-06,86.5339584350586
2023-04-10,86.59085083007812
2023-04-11,86.76152801513672
2023-04-12,86.61930084228516
2023-04-13,87.776123046875
2023-04-14,87.52011108398438
2023-04-17,87.6812973022461
2023-04-18,87.84249877929688
2023-04-19,87.6623306274414
2023-04-20,87.3399429321289
2023-04-21,87.39683532714844
2023-04-24,87.43476867675781
2023-04-25,86.03141021728516
2023-04-26,85.81331634521484
2023-04-27,87.28304290771484
2023-04-28,87.79507446289062
2023-05-01,87.6812973022461
2023-05-02,86.69515991210938
2023-05-03,86.38224792480469
2023-05-04,86.06932067871094
2023-05-05,87.52957916259766
2023-05-08,87.56751251220703
2023-05-09,87.19771575927734
2023-05-10,87.41580200195312
2023-05-11,87.19771575927734
2023-05-12,86.95116424560547
2023-05-15,87.54855346679688
2023-05-16,86.84686279296875
2023-05-17,87.6623306274414
2023-05-18,88.09851837158203
2023-05-19,88.15541076660156
2023-05-22,88.28815460205078
2023-05-23,87.17875671386719
2023-05-24,86.37276458740234
2023-05-25,86.72360229492188
2023-05-26,87.86145782470703
2023-05-30,87.50112915039062
2023-05-31,86.87532043457031
2023-06-01,87.90887451171875
2023-06-02,89.21739959716797
2023-06-05,88.9803466796875
2023-06-06,89.40704345703125
2023-06-07,88.93096923828125
2023-06-08,89.57276153564453
2023-06-09,89.69728088378906
2023-06-12,90.34864807128906
2023-06-13,91.04792022705078
2023-06-14,91.26823425292969
2023-06-15,92.30276489257812
2023-06-16,92.03456115722656
2023-06-20,91.19158935546875
2023-06-21,90.87549591064453
2023-06-22,90.8946533203125
2023-06-23,89.95591735839844
2023-06-26,89.80265045166016
2023-06-27,90.7509765625
2023-06-28,90.74139404296875
2023-06-29,90.8946533203125
2023-06-30,91.90044403076172
2023-07-03,92.12075805664062
2023-07-05,91.6705551147461
