Date,QQQ
2021-04-19,328.8594055175781
2021-04-20,326.4624328613281
2021-04-21,329.2572326660156
2021-04-22,325.2881774902344
2021-04-23,329.3834228515625
2021-04-26,331.5280456542969
2021-04-27,330.0918884277344
2021-04-28,328.9758605957031
2021-04-29,330.1597900390625
2021-04-30,327.99560546875
2021-05-03,326.2489318847656
2021-05-04,320.37774658203125
2021-05-05,319.3006896972656
2021-05-06,321.70733642578125
2021-05-07,324.3177795410156
2021-05-10,316.1272888183594
2021-05-11,315.6905517578125
2021-05-12,307.5196228027344
2021-05-13,309.8971252441406
2021-05-14,316.7387390136719
2021-05-17,314.8172607421875
2021-05-18,312.6920166015625
2021-05-19,313.051025390625
2021-05-20,319.1065368652344
2021-05-21,317.34039306640625
2021-05-24,322.6777038574219
2021-05-25,323.12408447265625
2021-05-26,324.24981689453125
2021-05-27,323.0367736816406
2021-05-28,324.0557556152344
2021-06-01,322.97857666015625
2021-06-02,323.6094055175781
2021-06-03,320.24188232421875
2021-06-04,325.67645263671875
2021-06-07,326.6468505859375
2021-06-08,326.80206298828125
2021-06-09,326.8797302246094
2021-06-10,330.285888671875
2021-06-11,331.1495666503906
2021-06-14,334.3228759765625
2021-06-15,332.13946533203125
2021-06-16,330.9263916015625
2021-06-17,335.1283264160156
2021-06-18,332.49847412109375
2021-06-21,334.56494140625
2021-06-22,337.6836242675781
2021-06-23,337.848876953125
2021-06-24,339.9377136230469
2021-06-25,339.5198669433594
2021-06-28,343.6490173339844
2021-06-29,344.8925476074219
2021-06-30,344.3484802246094
2021-07-01,344.48455810546875
2021-07-02,348.4388122558594
2021-07-06,349.94476318359375
2021-07-07,350.68304443359375
2021-07-08,348.5650329589844
2021-07-09,350.74139404296875
2021-07-12,352.11126708984375
2021-07-13,352.11126708984375
2021-07-14,352.74273681640625
2021-07-15,350.26519775390625
2021-07-16,347.42840576171875
2021-07-19,344.581787109375
2021-07-20,348.5845642089844
2021-07-21,351.2757873535156
2021-07-22,353.5977478027344
2021-07-23,357.7269592285156
2021-07-26,358.0086669921875
2021-07-27,354.06414794921875
2021-07-28,355.42425537109375
2021-07-29,356.05572509765625
2021-07-30,354.2000732421875
2021-08-02,354.229248046875
2021-08-03,356.3763122558594
2021-08-04,356.89129638671875
2021-08-05,359.1550598144531
2021-08-06,357.5810852050781
2021-08-09,358.2418518066406
2021-08-10,356.4055480957031
2021-08-11,355.7933654785156
2021-08-12,357.075927734375
2021-08-13,358.3292236328125
2021-08-16,358.48468017578125
2021-08-17,355.3271484375
2021-08-18,351.9072570800781
2021-08-19,353.6074523925781
2021-08-20,357.2702331542969
2021-08-23,362.61370849609375
2021-08-24,363.7213134765625
2021-08-25,364.1391906738281
2021-08-26,361.8268127441406
2021-08-27,365.34393310546875
2021-08-30,369.44384765625
2021-08-31,369.142578125
2021-09-01,369.7547302246094
2021-09-02,369.5798645019531
2021-09-03,370.716552734375
2021-09-07,371.2412109375
2021-09-08,369.94903564453125
2021-09-09,368.67633056640625
2021-09-10,365.8782043457031
2021-09-13,365.6256408691406
2021-09-14,364.5860595703125
2021-09-15,367.2966613769531
2021-09-16,367.54931640625
2021-09-17,363.19671630859375
2021-09-20,355.69189453125
2021-09-21,356.12957763671875
2021-09-22,359.4559631347656
2021-09-23,362.77264404296875
2021-09-24,363.113037109375
2021-09-27,360.214599609375
2021-09-28,350.0213928222656
2021-09-29,349.4475402832031
2021-09-30,348.1636657714844
2021-10-01,350.3229064941406
2021-10-04,342.9698791503906
2021-10-05,347.5996398925781
2021-10-06,349.82696533203125
2021-10-07,353.03662109375
2021-10-08,351.2760925292969
2021-10-11,348.58197021484375
2021-10-12,347.3661804199219
2021-10-13,350.1478271484375
2021-10-14,356.5964660644531
2021-10-15,358.84320068359375
2021-10-18,362.4516296386719
2021-10-19,365.1944885253906
2021-10-20,364.71783447265625
2021-10-21,366.9452209472656
2021-10-22,363.862060546875
2021-10-25,367.5871887207031
2021-10-26,368.74456787109375
2021-10-27,369.6004943847656
2021-10-28,373.70501708984375
2021-10-29,375.5433044433594
2021-11-01,376.8271789550781
2021-11-02,378.4028625488281
2021-11-03,382.41986083984375
2021-11-04,387.32196044921875
2021-11-05,387.6915283203125
2021-11-08,387.166259765625
2021-11-09,384.50128173828125
2021-11-10,378.8502502441406
2021-11-11,379.9007263183594
2021-11-12,383.8982238769531
2021-11-15,383.8106689453125
2021-11-16,386.5438232421875
2021-11-17,386.7480773925781
2021-11-18,390.7553405761719
2021-11-19,392.93402099609375
2021-11-22,388.37237548828125
2021-11-23,386.6021728515625
2021-11-24,387.8471374511719
2021-11-26,380.4939880371094
2021-11-29,388.751708984375
2021-11-30,383.0423583984375
2021-12-01,376.52569580078125
2021-12-02,379.2393798828125
2021-12-03,372.6448669433594
2021-12-06,375.6308898925781
2021-12-07,386.942626953125
2021-12-08,388.6738586425781
2021-12-09,382.9547424316406
2021-12-10,387.1176452636719
2021-12-13,381.5250244140625
2021-12-14,377.5760803222656
2021-12-15,386.1839599609375
2021-12-16,376.25335693359375
2021-12-17,374.376220703125
2021-12-20,370.7445373535156
2021-12-21,379.0419921875
2021-12-22,383.6581726074219
2021-12-23,386.550537109375
2021-12-27,392.9391784667969
2021-12-28,391.1180725097656
2021-12-29,391.0595703125
2021-12-30,389.8909912109375
2021-12-31,387.45635986328125
2022-01-03,391.1861877441406
2022-01-04,386.1123962402344
2022-01-05,374.2505798339844
2022-01-06,373.98760986328125
2022-01-07,369.93621826171875
2022-01-10,370.1796875
2022-01-11,375.7406005859375
2022-01-12,377.2305908203125
2022-01-13,367.793701171875
2022-01-14,370.0823669433594
2022-01-18,360.8695068359375
2022-01-19,356.9057312011719
2022-01-20,352.2701721191406
2022-01-21,342.502197265625
