Date,IXUS
2021-04-19,62.50037384033203
2021-04-20,61.6416015625
2021-04-21,62.174041748046875
2021-04-22,61.967933654785156
2021-04-23,62.654930114746094
2021-04-26,62.79235076904297
2021-04-27,62.64634704589844
2021-04-28,62.955509185791016
2021-04-29,62.92975616455078
2021-04-30,62.06240463256836
2021-05-03,62.483211517333984
2021-05-04,61.77901840209961
2021-05-05,62.29426956176758
2021-05-06,62.79235076904297
2021-05-07,63.56523895263672
2021-05-10,63.00703811645508
2021-05-11,62.4230842590332
2021-05-12,61.16071319580078
2021-05-13,61.42692947387695
2021-05-14,62.44883346557617
2021-05-17,62.38873291015625
2021-05-18,62.74941635131836
2021-05-19,62.31144332885742
2021-05-20,63.00703811645508
2021-05-21,62.800933837890625
2021-05-24,63.22172546386719
2021-05-25,63.41065979003906
2021-05-26,63.56523895263672
2021-05-27,63.71980667114258
2021-05-28,63.90013885498047
2021-06-01,64.5098648071289
2021-06-02,64.64726257324219
2021-06-03,64.21788787841797
2021-06-04,64.81902313232422
2021-06-07,64.86195373535156
2021-06-08,64.72455596923828
2021-06-09,64.5098648071289
2021-06-10,64.85904693603516
2021-06-11,64.87640380859375
2021-06-14,64.97195434570312
2021-06-15,64.86772918701172
2021-06-16,64.33787536621094
2021-06-17,64.05123138427734
2021-06-18,63.02627944946289
2021-06-21,63.677734375
2021-06-22,63.71249008178711
2021-06-23,63.51270294189453
2021-06-24,64.06859588623047
2021-06-25,64.37262725830078
2021-06-28,64.06859588623047
2021-06-29,64.0772933959961
2021-06-30,63.66904830932617
2021-07-01,63.72117233276367
2021-07-02,63.86882781982422
2021-07-06,63.29554748535156
2021-07-07,63.50402069091797
2021-07-08,62.513790130615234
2021-07-09,63.582191467285156
2021-07-12,63.72117233276367
2021-07-13,63.521385192871094
2021-07-14,63.695106506347656
2021-07-15,63.30424118041992
2021-07-16,62.75700759887695
2021-07-19,61.653873443603516
2021-07-20,62.07080841064453
2021-07-21,62.843868255615234
2021-07-22,62.96548080444336
2021-07-23,63.04365539550781
2021-07-26,62.774383544921875
2021-07-27,62.2879524230957
2021-07-28,62.87860107421875
2021-07-29,63.28685760498047
2021-07-30,62.92205047607422
2021-08-02,63.22605895996094
2021-08-03,63.61692428588867
2021-08-04,63.55612564086914
2021-08-05,63.76460266113281
2021-08-06,63.40845489501953
2021-08-09,63.425838470458984
2021-08-10,63.582191467285156
2021-08-11,63.8948860168457
2021-08-12,63.695106506347656
2021-08-13,63.903568267822266
2021-08-16,63.521385192871094
2021-08-17,62.74832534790039
2021-08-18,62.61802291870117
2021-08-19,61.897090911865234
2021-08-20,62.010009765625
2021-08-23,62.704898834228516
2021-08-24,63.29554748535156
2021-08-25,63.32160568237305
2021-08-26,62.87860107421875
2021-08-27,63.59957504272461
2021-08-30,63.65168380737305
2021-08-31,63.88621139526367
2021-09-01,64.43341827392578
2021-09-02,64.67662811279297
2021-09-03,64.96328735351562
2021-09-07,64.93722534179688
2021-09-08,64.31180572509766
2021-09-09,64.2857666015625
2021-09-10,64.16416931152344
2021-09-13,64.56372833251953
2021-09-14,64.23363494873047
2021-09-15,64.32051086425781
2021-09-16,64.05992126464844
2021-09-17,63.37370681762695
2021-09-20,62.0621223449707
2021-09-21,62.60065841674805
2021-09-22,63.06102752685547
2021-09-23,63.695106506347656
2021-09-24,63.104454040527344
2021-09-27,63.17394256591797
2021-09-28,61.940513610839844
2021-09-29,61.679931640625
2021-09-30,61.67124938964844
2021-10-01,61.79285430908203
2021-10-04,61.18482208251953
2021-10-05,61.549644470214844
2021-10-06,61.176151275634766
2021-10-07,61.88840103149414
2021-10-08,61.93183898925781
2021-10-11,61.71468734741211
2021-10-12,61.679931640625
2021-10-13,62.41825485229492
2021-10-14,62.96548080444336
2021-10-15,63.53007125854492
2021-10-18,63.33897399902344
2021-10-19,63.80802917480469
2021-10-20,63.999122619628906
2021-10-21,63.634307861328125
2021-10-22,63.842769622802734
2021-10-25,63.8948860168457
2021-10-26,63.842769622802734
2021-10-27,63.51270294189453
2021-10-28,63.97306823730469
2021-10-29,63.469276428222656
2021-11-01,64.04255676269531
2021-11-02,63.729854583740234
2021-11-03,64.20758819580078
2021-11-04,64.12940979003906
2021-11-05,64.24234008789062
2021-11-08,64.40737915039062
2021-11-09,64.25101470947266
2021-11-10,63.582191467285156
2021-11-11,64.05992126464844
2021-11-12,64.36393737792969
2021-11-15,64.23363494873047
2021-11-16,64.10335540771484
2021-11-17,63.938316345214844
2021-11-18,63.799339294433594
2021-11-19,63.35634994506836
2021-11-22,62.90468215942383
2021-11-23,62.81781005859375
2021-11-24,62.56591033935547
2021-11-26,60.898189544677734
2021-11-29,61.10666275024414
2021-11-30,60.67234802246094
2021-12-01,60.394386291503906
2021-12-02,61.158775329589844
2021-12-03,60.69841384887695
2021-12-06,61.2369499206543
2021-12-07,62.47036361694336
2021-12-08,62.58329772949219
2021-12-09,62.10554885864258
2021-12-10,62.20978927612305
2021-12-13,61.45191955566406
2021-12-14,61.16009521484375
2021-12-15,61.71722412109375
2021-12-16,61.7083740234375
2021-12-17,61.098182678222656
2021-12-20,60.700233459472656
2021-12-21,61.513816833496094
2021-12-22,62.07978820800781
