Date,SCHB
2021-04-19,15.720870971679688
2021-04-20,15.583935737609863
2021-04-21,15.74887752532959
2021-04-22,15.629059791564941
2021-04-23,15.811115264892578
2021-04-26,15.874918937683105
2021-04-27,15.867136001586914
2021-04-28,15.867136001586914
2021-04-29,15.92626667022705
2021-04-30,15.812675476074219
2021-05-03,15.84379768371582
2021-05-04,15.722420692443848
2021-05-05,15.705306053161621
2021-05-06,15.794008255004883
2021-05-07,15.92626667022705
2021-05-10,15.737988471984863
2021-05-11,15.621280670166016
2021-05-12,15.266499519348145
2021-05-13,15.43610668182373
2021-05-14,15.697527885437012
2021-05-17,15.66174030303955
2021-05-18,15.534140586853027
2021-05-19,15.493682861328125
2021-05-20,15.65707015991211
2021-05-21,15.65707015991211
2021-05-24,15.812675476074219
2021-05-25,15.767552375793457
2021-05-26,15.829790115356445
2021-05-27,15.854691505432129
2021-05-28,15.874918937683105
2021-06-01,15.887364387512207
2021-06-02,15.896702766418457
2021-06-03,15.831348419189453
2021-06-04,15.969836235046387
2021-06-07,15.982279777526855
2021-06-08,16.010297775268555
2021-06-09,15.976065635681152
2021-06-10,16.042972564697266
2021-06-11,16.089656829833984
2021-06-14,16.106767654418945
2021-06-15,16.075653076171875
2021-06-16,15.993173599243164
2021-06-17,15.972949981689453
2021-06-18,15.773775100708008
2021-06-21,15.994733810424805
2021-06-22,16.075653076171875
2021-06-23,16.079708099365234
2021-06-24,16.17803955078125
2021-06-25,16.243595123291016
2021-06-28,16.268571853637695
2021-06-29,16.267009735107422
2021-06-30,16.274812698364258
2021-07-01,16.362220764160156
2021-07-02,16.45430564880371
2021-07-06,16.413724899291992
2021-07-07,16.438701629638672
2021-07-08,16.301349639892578
2021-07-09,16.49645233154297
2021-07-12,16.547956466674805
2021-07-13,16.457433700561523
2021-07-14,16.438701629638672
2021-07-15,16.38406753540039
2021-07-16,16.256084442138672
2021-07-19,16.02039909362793
2021-07-20,16.290424346923828
2021-07-21,16.437137603759766
2021-07-22,16.443384170532227
2021-07-23,16.615074157714844
2021-07-26,16.649410247802734
2021-07-27,16.5620059967041
2021-07-28,16.585416793823242
2021-07-29,16.658781051635742
2021-07-30,16.566688537597656
2021-08-02,16.540157318115234
2021-08-03,16.658781051635742
2021-08-04,16.58073616027832
2021-08-05,16.697799682617188
2021-08-06,16.719648361206055
2021-08-09,16.704042434692383
2021-08-10,16.713401794433594
2021-08-11,16.755552291870117
2021-08-12,16.79925537109375
2021-08-13,16.81329917907715
2021-08-16,16.828907012939453
