Date,VXUS
2021-04-19,55.34465026855469
2021-04-20,54.577754974365234
2021-04-21,55.0975341796875
2021-04-22,54.86745834350586
2021-04-23,55.48952102661133
2021-04-26,55.55768585205078
2021-04-27,55.472476959228516
2021-04-28,55.702537536621094
2021-04-29,55.69401931762695
2021-04-30,54.910072326660156
2021-05-03,55.37873840332031
2021-05-04,54.662967681884766
2021-05-05,55.2253532409668
2021-05-06,55.651405334472656
2021-05-07,56.307533264160156
2021-05-10,55.84739303588867
2021-05-11,55.242401123046875
2021-05-12,54.160221099853516
2021-05-13,54.44993591308594
2021-05-14,55.36170196533203
2021-05-17,55.2764778137207
2021-05-18,55.608802795410156
2021-05-19,55.21684265136719
2021-05-20,55.81331253051758
2021-05-21,55.65992736816406
2021-05-24,56.0604248046875
2021-05-25,56.21379852294922
2021-05-26,56.341617584228516
2021-05-27,56.46942901611328
2021-05-28,56.597259521484375
2021-06-01,57.134090423583984
2021-06-02,57.26191329956055
2021-06-03,56.82732009887695
2021-06-04,57.372676849365234
2021-06-07,57.415283203125
2021-06-08,57.32154846191406
2021-06-09,57.12555694580078
2021-06-10,57.38119125366211
2021-06-11,57.44935989379883
2021-06-14,57.51753616333008
2021-06-15,57.46639633178711
2021-06-16,56.97218322753906
2021-06-17,56.70803451538086
2021-06-18,55.804786682128906
2021-06-21,56.453243255615234
2021-06-22,56.44465637207031
2021-06-23,56.27287292480469
2021-06-24,56.779605865478516
2021-06-25,57.03727722167969
2021-06-28,56.805362701416016
2021-06-29,56.78819274902344
2021-06-30,56.41029357910156
2021-07-01,56.461822509765625
2021-07-02,56.53913879394531
2021-07-06,56.07533645629883
2021-07-07,56.25570297241211
2021-07-08,55.39683532714844
2021-07-09,56.35016632080078
2021-07-12,56.470420837402344
2021-07-13,56.3072395324707
2021-07-14,56.401702880859375
2021-07-15,56.10968780517578
2021-07-16,55.68026351928711
2021-07-19,54.73550796508789
2021-07-20,55.05328369140625
2021-07-21,55.7575569152832
2021-07-22,55.826271057128906
2021-07-23,55.88639831542969
2021-07-26,55.65449142456055
2021-07-27,55.16493606567383
2021-07-28,55.7575569152832
2021-07-29,56.101097106933594
2021-07-30,55.77473449707031
2021-08-02,56.00662612915039
2021-08-03,56.375938415527344
2021-08-04,56.32440948486328
2021-08-05,56.48759460449219
2021-08-06,56.22134017944336
2021-08-09,56.22993469238281
2021-08-10,56.33299255371094
2021-08-11,56.67653274536133
2021-08-12,56.48759460449219
2021-08-13,56.67653274536133
2021-08-16,56.29863739013672
2021-08-17,55.61154556274414
2021-08-18,55.49989700317383
2021-08-19,54.84716033935547
2021-08-20,54.9931755065918
2021-08-23,55.58578109741211
2021-08-24,56.09251403808594
2021-08-25,56.14404296875
2021-08-26,55.766136169433594
2021-08-27,56.375938415527344
2021-08-30,56.39311218261719
2021-08-31,56.59065628051758
2021-09-01,57.088802337646484
2021-09-02,57.243385314941406
2021-09-03,57.54399871826172
2021-09-07,57.526817321777344
2021-09-08,56.94279479980469
2021-09-09,56.89126205444336
2021-09-10,56.78819274902344
2021-09-13,57.157508850097656
2021-09-14,56.86549377441406
2021-09-15,57.0029182434082
2021-09-16,56.72807312011719
2021-09-17,56.1182746887207
2021-09-20,54.94121551513672
2021-09-21,55.43345642089844
2021-09-22,55.87388610839844
2021-09-23,56.43520736694336
2021-09-24,55.8997917175293
2021-09-27,55.98615646362305
2021-09-28,54.906673431396484
2021-09-29,54.673500061035156
2021-09-30,54.63032150268555
2021-10-01,54.785770416259766
2021-10-04,54.21580505371094
2021-10-05,54.543968200683594
2021-10-06,54.22443771362305
2021-10-07,54.846214294433594
2021-10-08,54.91529846191406
2021-10-11,54.751216888427734
2021-10-12,54.71668243408203
2021-10-13,55.338462829589844
2021-10-14,55.8047981262207
2021-10-15,56.28841781616211
2021-10-18,56.11568832397461
2021-10-19,56.564754486083984
2021-10-20,56.71156311035156
2021-10-21,56.37476348876953
2021-10-22,56.547481536865234
2021-10-25,56.60792541503906
2021-10-26,56.564754486083984
2021-10-27,56.26249313354492
2021-10-28,56.67700958251953
2021-10-29,56.202056884765625
2021-11-01,56.74610137939453
2021-11-02,56.46112060546875
2021-11-03,56.832454681396484
2021-11-04,56.772003173828125
2021-11-05,56.892913818359375
2021-11-08,57.07425308227539
2021-11-09,56.90155029296875
2021-11-10,56.33158874511719
2021-11-11,56.70292282104492
2021-11-12,57.031097412109375
2021-11-15,56.91019058227539
2021-11-16,56.789283752441406
2021-11-17,56.65974044799805
2021-11-18,56.504295349121094
2021-11-19,56.14159393310547
2021-11-22,55.787513732910156
2021-11-23,55.75297927856445
2021-11-24,55.52846145629883
2021-11-26,53.939456939697266
2021-11-29,54.172630310058594
2021-11-30,53.80991744995117
2021-12-01,53.55084228515625
2021-12-02,54.25897979736328
2021-12-03,53.8703727722168
2021-12-06,54.397151947021484
2021-12-07,55.44209671020508
2021-12-08,55.57163619995117
2021-12-09,55.1571044921875
2021-12-10,55.24346923828125
2021-12-13,54.56987762451172
2021-12-14,54.353973388671875
2021-12-15,54.80304718017578
2021-12-16,54.87213134765625
2021-12-17,54.29353713989258
2021-12-20,53.926177978515625
2021-12-21,54.645084381103516
2021-12-22,55.136043548583984
2021-12-23,55.44289016723633
2021-12-27,55.84617614746094
2021-12-28,55.78480911254883
2021-12-29,55.73220443725586
2021-12-30,55.811100006103516
2021-12-31,55.73220443725586
2022-01-03,56.091651916503906
2022-01-04,56.16177749633789
2022-01-05,55.60069274902344
2022-01-06,55.44289016723633
2022-01-07,55.68836212158203
2022-01-10,55.276309967041016
2022-01-11,56.06534957885742
2022-01-12,56.72287368774414
2022-01-13,56.2319221496582
2022-01-14,56.1793212890625
2022-01-18,55.3464469909668
2022-01-19,55.39028549194336
2022-01-20,55.232479095458984
2022-01-21,54.43467330932617
2022-01-24,53.803436279296875
2022-01-25,53.601802825927734
2022-01-26,53.2598876953125
2022-01-27,52.88290786743164
2022-01-28,53.13715362548828
2022-01-31,54.15412521362305
2022-02-01,54.61878204345703
2022-02-02,54.89933395385742
2022-02-03,54.16290283203125
2022-02-04,54.25056457519531
2022-02-07,54.329471588134766
2022-02-08,54.645084381103516
2022-02-09,55.53933334350586
2022-02-10,54.90809631347656
2022-02-11,54.15412521362305
2022-02-14,53.82975387573242
2022-02-15,54.81166458129883
2022-02-16,55.057132720947266
2022-02-17,54.294395446777344
2022-02-18,53.952484130859375
2022-02-22,53.3124885559082
2022-02-23,52.78646469116211
2022-02-24,52.11140823364258
2022-02-25,53.294960021972656
2022-02-28,52.61112594604492
2022-03-01,51.629215240478516
2022-03-02,52.17276382446289
2022-03-03,51.374969482421875
2022-03-04,50.18265914916992
2022-03-07,48.5870475769043
2022-03-08,48.86758804321289
2022-03-09,50.550865173339844
2022-03-10,49.91963195800781
2022-03-11,49.3234748840332
2022-03-14,49.25334167480469
2022-03-15,49.59525680541992
2022-03-16,51.74318313598633
2022-03-17,52.006195068359375
2022-03-18,52.61112594604492
2022-03-21,52.224735260009766
2022-03-22,52.78675842285156
2022-03-23,52.24229431152344
2022-03-24,52.60234451293945
2022-03-25,52.56721496582031
2022-03-28,52.470619201660156
2022-03-29,53.49807357788086
2022-03-30,53.313655853271484
2022-03-31,52.46183395385742
2022-04-01,53.03264617919922
2022-04-04,53.46294021606445
2022-04-05,52.734066009521484
2022-04-06,52.075443267822266
2022-04-07,52.040313720703125
2022-04-08,52.057884216308594
2022-04-11,51.44316101074219
2022-04-12,51.162147521972656
2022-04-13,51.76808166503906
2022-04-14,51.425594329833984
2022-04-18,51.23240280151367
2022-04-19,51.33777618408203
2022-04-20,51.5222053527832
2022-04-21,50.85478591918945
2022-04-22,50.06443405151367
2022-04-25,49.721946716308594
2022-04-26,48.44860076904297
2022-04-27,48.77353286743164
2022-04-28,49.49362564086914
2022-04-29,49.054534912109375
2022-05-02,48.905250549316406
2022-05-03,49.32676696777344
2022-05-04,50.038089752197266
2022-05-05,48.4398193359375
2022-05-06,47.939266204833984
2022-05-09,46.472721099853516
2022-05-10,46.7098274230957
2022-05-11,46.45515823364258
2022-05-12,46.2795295715332
2022-05-13,47.526519775390625
2022-05-16,47.51774597167969
2022-05-17,48.492523193359375
2022-05-18,47.377235412597656
2022-05-19,47.89535903930664
2022-05-20,48.16759490966797
2022-05-23,48.8613395690918
2022-05-24,48.474945068359375
2022-05-25,48.553977966308594
2022-05-26,49.133575439453125
2022-05-27,49.75707244873047
2022-05-31,49.80097961425781
