Date,GDX
2021-04-19,33.393280029296875
2021-04-20,33.775821685791016
2021-04-21,34.3636360168457
2021-04-22,33.75716781616211
2021-04-23,33.645198822021484
2021-04-26,33.570552825927734
2021-04-27,32.936092376708984
2021-04-28,33.0760498046875
2021-04-29,32.441585540771484
2021-04-30,32.05904006958008
2021-05-03,33.29064178466797
2021-05-04,32.94542694091797
2021-05-05,33.22533416748047
2021-05-06,34.298316955566406
2021-05-07,34.91411590576172
2021-05-10,34.87680435180664
2021-05-11,35.11939239501953
2021-05-12,34.391624450683594
2021-05-13,34.456939697265625
2021-05-14,35.30599594116211
2021-05-17,37.02278137207031
2021-05-18,36.97612762451172
2021-05-19,36.42563247680664
2021-05-20,36.864166259765625
2021-05-21,36.65890121459961
2021-05-24,36.789520263671875
2021-05-25,36.873497009277344
2021-05-26,36.817508697509766
2021-05-27,36.584251403808594
2021-05-28,36.78018569946289
2021-06-01,36.84550476074219
2021-06-02,36.892154693603516
2021-06-03,35.61389923095703
2021-06-04,36.089744567871094
2021-06-07,36.0617561340332
2021-06-08,35.548587799072266
2021-06-09,35.455284118652344
2021-06-10,36.3416633605957
2021-06-11,35.716529846191406
2021-06-14,35.483272552490234
2021-06-15,35.07273864746094
2021-06-16,34.30765151977539
2021-06-17,32.59087371826172
2021-06-18,31.84444236755371
2021-06-21,32.441585540771484
2021-06-22,32.2363166809082
2021-06-23,32.03105163574219
2021-06-24,32.13368225097656
2021-06-25,32.05904006958008
2021-06-28,31.704486846923828
2021-06-29,31.387256622314453
2021-06-30,31.704486846923828
2021-07-01,31.685823440551758
2021-07-02,32.115020751953125
2021-07-06,32.20832824707031
2021-07-07,32.24564743041992
2021-07-08,31.424579620361328
2021-07-09,32.0683708190918
2021-07-12,31.62051773071289
2021-07-13,31.984394073486328
2021-07-14,32.413597106933594
2021-07-15,32.62819290161133
2021-07-16,31.64850616455078
2021-07-19,30.967391967773438
2021-07-20,31.070022583007812
2021-07-21,31.368595123291016
2021-07-22,31.172657012939453
2021-07-23,30.930068969726562
2021-07-26,31.25663185119629
2021-07-27,31.424579620361328
2021-07-28,31.90042495727539
2021-07-29,32.721492767333984
2021-07-30,32.581539154052734
2021-08-02,32.4509162902832
2021-08-03,32.74015426635742
2021-08-04,32.4509162902832
2021-08-05,31.965734481811523
2021-08-06,31.014041900634766
2021-08-09,30.258285522460938
2021-08-10,29.875741958618164
2021-08-11,30.472883224487305
2021-08-12,30.006364822387695
2021-08-13,30.62216567993164
2021-08-16,30.454219818115234
2021-08-17,30.09033966064453
2021-08-18,29.38123321533203
2021-08-19,28.8867244720459
2021-08-20,28.78409194946289
2021-08-23,29.969043731689453
2021-08-24,29.959712982177734
2021-08-25,29.558509826660156
2021-08-26,29.371902465820312
2021-08-27,30.426231384277344
2021-08-30,30.015695571899414
2021-08-31,30.416900634765625
2021-09-01,30.21163558959961
2021-09-02,30.323598861694336
2021-09-03,31.051366806030273
2021-09-07,30.183639526367188
2021-09-08,30.03435516357422
2021-09-09,29.81975746154785
2021-09-10,29.39056396484375
