Date,SPDW
2021-04-19,31.52633285522461
2021-04-20,30.9792423248291
2021-04-21,31.278432846069336
2021-04-22,31.16730308532715
2021-04-23,31.49213981628418
2021-04-26,31.577625274658203
2021-04-27,31.47504425048828
2021-04-28,31.56052589416504
2021-04-29,31.577625274658203
2021-04-30,31.150203704833984
2021-05-03,31.46649742126465
2021-05-04,31.056182861328125
2021-05-05,31.432296752929688
2021-05-06,31.67165756225586
2021-05-07,32.04778289794922
2021-05-10,31.876815795898438
2021-05-11,31.49213981628418
2021-05-12,30.90230369567871
2021-05-13,31.098909378051758
2021-05-14,31.63746452331543
2021-05-17,31.56052589416504
2021-05-18,31.697303771972656
2021-05-19,31.406654357910156
2021-05-20,31.834074020385742
2021-05-21,31.842622756958008
2021-05-24,32.03923416137695
2021-05-25,32.056331634521484
2021-05-26,32.056331634521484
2021-05-27,32.141815185546875
2021-05-28,32.227298736572266
2021-06-01,32.38972091674805
2021-06-02,32.48374938964844
2021-06-03,32.32133102416992
2021-06-04,32.620521545410156
2021-06-07,32.70600509643555
2021-06-08,32.671810150146484
2021-06-09,32.5350456237793
2021-06-10,32.65471649169922
2021-06-11,32.69746017456055
2021-06-14,32.774391174316406
2021-06-15,32.74020004272461
2021-06-16,32.526485443115234
2021-06-17,32.29568862915039
2021-06-18,31.67165756225586
2021-06-21,32.14837646484375
2021-06-22,32.13970947265625
2021-06-23,31.975021362304688
2021-06-24,32.25238800048828
2021-06-25,32.34772872924805
2021-06-28,32.13970947265625
2021-06-29,32.131038665771484
2021-06-30,31.888343811035156
2021-07-01,31.992359161376953
2021-07-02,32.105037689208984
2021-07-06,31.905685424804688
2021-07-07,32.00969314575195
2021-07-08,31.54163932800293
2021-07-09,32.08769989013672
2021-07-12,32.174373626708984
2021-07-13,32.01836013793945
2021-07-14,32.07036209106445
2021-07-15,31.767000198364258
2021-07-16,31.524303436279297
2021-07-19,30.926237106323242
2021-07-20,31.20359992980957
2021-07-21,31.67165756225586
2021-07-22,31.706321716308594
2021-07-23,31.89701271057129
2021-07-26,31.914350509643555
2021-07-27,31.784330368041992
2021-07-28,31.94902229309082
2021-07-29,32.18304443359375
2021-07-30,31.983694076538086
2021-08-02,32.131038665771484
2021-08-03,32.34772872924805
2021-08-04,32.27839660644531
2021-08-05,32.425743103027344
2021-08-06,32.32172393798828
2021-08-09,32.28705978393555
2021-08-10,32.33039474487305
2021-08-11,32.538421630859375
2021-08-12,32.47774887084961
2021-08-13,32.62509536743164
2021-08-16,32.43440628051758
2021-08-17,32.09636306762695
2021-08-18,32.02703094482422
2021-08-19,31.680326461791992
2021-08-20,31.77566909790039
2021-08-23,32.11370086669922
2021-08-24,32.27839660644531
2021-08-25,32.30439758300781
2021-08-26,32.11370086669922
2021-08-27,32.45174026489258
2021-08-30,32.443077087402344
2021-08-31,32.43440628051758
2021-09-01,32.72910690307617
2021-09-02,32.893795013427734
2021-09-03,33.08448028564453
2021-09-07,33.02381134033203
2021-09-08,32.75511169433594
2021-09-09,32.720436096191406
2021-09-10,32.64242935180664
2021-09-13,32.88512420654297
2021-09-14,32.75511169433594
2021-09-15,32.88512420654297
2021-09-16,32.79845428466797
2021-09-17,32.40840148925781
2021-09-20,31.784330368041992
