Date,VCIT
2021-04-19,77.1488265991211
2021-04-20,77.26424407958984
2021-04-21,77.41268920898438
2021-04-22,77.4621810913086
2021-04-23,77.50336456298828
2021-04-26,77.4621810913086
2021-04-27,77.27250671386719
2021-04-28,77.34673309326172
2021-04-29,77.28075408935547
2021-04-30,77.36320495605469
2021-05-03,77.50032806396484
2021-05-04,77.49207305908203
2021-05-05,77.57469177246094
2021-05-06,77.69036102294922
2021-05-07,77.76469421386719
2021-05-10,77.65727233886719
2021-05-11,77.50032806396484
2021-05-12,77.11209869384766
2021-05-13,77.39292907714844
2021-05-14,77.62423706054688
2021-05-17,77.5416259765625
2021-05-18,77.45903015136719
2021-05-19,77.31034088134766
2021-05-20,77.60772705078125
2021-05-21,77.64073944091797
2021-05-24,77.7398910522461
2021-05-25,77.9546890258789
2021-05-26,77.921630859375
2021-05-27,77.78119659423828
2021-05-28,77.80599212646484
2021-06-01,77.85150146484375
2021-06-02,77.97563934326172
2021-06-03,77.71080017089844
2021-06-04,78.0583724975586
2021-06-07,78.03355407714844
2021-06-08,78.21562957763672
2021-06-09,78.38943481445312
2021-06-10,78.65426635742188
2021-06-11,78.64599609375
2021-06-14,78.47219848632812
2021-06-15,78.55490112304688
2021-06-16,78.15771484375
2021-06-17,78.3315200805664
2021-06-18,78.53839874267578
2021-06-21,78.39775085449219
2021-06-22,78.51356506347656
2021-06-23,78.37286376953125
2021-06-24,78.46391296386719
2021-06-25,78.36459350585938
2021-06-28,78.53839874267578
2021-06-29,78.63770294189453
2021-06-30,78.67910766601562
2021-07-01,78.62103271484375
2021-07-02,78.81173706054688
2021-07-06,79.06877899169922
2021-07-07,79.23456573486328
2021-07-08,79.28429412841797
2021-07-09,79.0604476928711
2021-07-12,79.02727508544922
2021-07-13,78.82832336425781
2021-07-14,79.09362030029297
2021-07-15,79.21798706054688
2021-07-16,79.16825103759766
2021-07-19,79.56620788574219
2021-07-20,79.54959106445312
2021-07-21,79.29261016845703
2021-07-22,79.4832763671875
2021-07-23,79.45013427734375
2021-07-26,79.3672103881836
2021-07-27,79.57450103759766
2021-07-28,79.6905517578125
2021-07-29,79.56620788574219
2021-07-30,79.6656494140625
2021-08-02,79.84757232666016
2021-08-03,79.84757232666016
2021-08-04,79.79776763916016
2021-08-05,79.59842681884766
2021-08-06,79.26615905761719
2021-08-09,79.02529907226562
2021-08-10,78.90068817138672
2021-08-11,79.03357696533203
2021-08-12,79.05017852783203
2021-08-13,79.34093475341797
2021-08-16,79.44059753417969
2021-08-17,79.3575439453125
2021-08-18,79.21631622314453
2021-08-19,79.3575439453125
2021-08-20,79.34093475341797
2021-08-23,79.37413024902344
2021-08-24,79.24954986572266
2021-08-25,79.11663818359375
2021-08-26,79.0750961303711
2021-08-27,79.34093475341797
2021-08-30,79.49874114990234
2021-08-31,79.3907699584961
2021-09-01,79.4614486694336
2021-09-02,79.60295867919922
2021-09-03,79.43651580810547
2021-09-07,79.1535873413086
2021-09-08,79.28672790527344
2021-09-09,79.5447006225586
2021-09-10,79.43651580810547
2021-09-13,79.48646545410156
2021-09-14,79.64458465576172
2021-09-15,79.58629608154297
2021-09-16,79.45316314697266
2021-09-17,79.28672790527344
2021-09-20,79.49475860595703
2021-09-21,79.48646545410156
2021-09-22,79.5447006225586
2021-09-23,79.18687438964844
2021-09-24,79.0953369140625
2021-09-27,78.97053527832031
2021-09-28,78.58772277832031
2021-09-29,78.63766479492188
2021-09-30,78.56277465820312
2021-10-01,78.92375946044922
2021-10-04,78.84870910644531
2021-10-05,78.67363739013672
2021-10-06,78.6236343383789
2021-10-07,78.39852905273438
2021-10-08,78.19013214111328
2021-10-11,78.03170776367188
2021-10-12,78.24847412109375
2021-10-13,78.44855499267578
2021-10-14,78.65699768066406
2021-10-15,78.39852905273438
2021-10-18,78.20677947998047
2021-10-19,78.0150375366211
2021-10-20,77.96501922607422
2021-10-21,77.756591796875
2021-10-22,77.89832305908203
2021-10-25,78.02338409423828
2021-10-26,78.12342071533203
2021-10-27,78.3818588256836
2021-10-28,78.26512145996094
2021-10-29,78.27347564697266
2021-11-01,78.20081329345703
2021-11-02,78.38455200195312
2021-11-03,78.29267883300781
2021-11-04,78.56830596923828
2021-11-05,78.94414520263672
2021-11-08,78.7019271850586
2021-11-09,78.86064910888672
2021-11-10,78.31776428222656
2021-11-11,78.05882263183594
2021-11-12,78.15904235839844
2021-11-15,77.80826568603516
2021-11-16,77.72472381591797
2021-11-17,77.91683959960938
2021-11-18,77.98368072509766
2021-11-19,78.10892486572266
2021-11-22,77.59111785888672
2021-11-23,77.29881286621094
2021-11-24,77.39899444580078
2021-11-26,77.88340759277344
2021-11-29,77.89176940917969
2021-11-30,78.00871276855469
2021-12-01,78.02291870117188
2021-12-02,78.04806518554688
2021-12-03,78.42457580566406
2021-12-06,78.19865417480469
2021-12-07,78.2405014038086
2021-12-08,78.03131866455078
2021-12-09,78.03131866455078
2021-12-10,78.1317138671875
2021-12-13,78.33250427246094
2021-12-14,78.1317138671875
2021-12-15,78.2656021118164
2021-12-16,78.42457580566406
2021-12-17,78.4747543334961
2021-12-20,78.3576431274414
2021-12-21,78.30742645263672
2021-12-22,78.34925842285156
2021-12-23,78.3146743774414
